"siteid","age","LAT","LON","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
8,611.9,33.956389,-119.976667,-74.8599983267486,-72.339998383075,-72.5799983777106,-72.4799983799458,-66.7399985082448,-60.8099986407906,-51.2199988551438,-54.269998786971,-60.9499986376613,-68.8199984617531,-76.4199982918799,-77.0699982773513
8,1066.2,33.956389,-119.976667,-76.1699982974678,-74.1199983432889,-74.2699983399361,-73.4299983587116,-66.4399985149503,-59.0799986794591,-48.4699989166111,-51.2199988551438,-58.2999986968935,-67.0599985010922,-75.7699983064085,-77.5099982675165
8,1263.8,33.956389,-119.976667,-74.7599983289838,-74.9399983249605,-77.519998267293,-78.389998247847,-71.9299983922392,-63.8399985730648,-51.6299988459796,-52.2899988312274,-57.3099987190217,-64.4999985583127,-72.5299983788282,-74.6499983314425
8,1522,33.956389,-119.976667,-72.1899983864278,-70.889998415485,-72.899998370558,-73.9299983475357,-68.1799984760582,-61.3099986296147,-50.8199988640845,-53.41999880597,-59.989998659119,-67.4899984914809,-74.349998338148,-74.2599983401597
8,1792.1,33.956389,-119.976667,-76.9299982804805,-74.8099983278662,-75.50999831222,-74.9599983245134,-67.6899984870106,-59.7899986635894,-49.2399988994002,-52.8799988180399,-61.2499986309558,-70.5399984233081,-78.6999982409179,-79.1699982304126
8,2109.5,33.956389,-119.976667,-74.2299983408302,-73.0799983665347,-74.8899983260781,-75.9199983030558,-70.5299984235317,-64.1299985665828,-53.5899988021702,-55.4799987599254,-61.0199986360967,-67.9599984809756,-75.0199983231723,-75.6899983081967
8,2397.6,33.956389,-119.976667,-75.1499983202666,-74.079998344183,-76.3699982929975,-77.0699982773513,-70.2899984288961,-62.1199986115098,-51.0299988593906,-54.0599987916648,-61.8099986184388,-70.2899984288961,-77.519998267293,-77.2799982726574
8,2679.7,33.956389,-119.976667,-72.3899983819574,-71.6099983993918,-73.8699983488768,-74.6799983307719,-68.2499984744936,-60.4499986488372,-49.1799989007413,-51.3999988511205,-58.0299987029284,-65.8899985272437,-73.2899983618408,-73.8199983499944
8,2949.5,33.956389,-119.976667,-73.0999983660877,-72.0199983902276,-74.9599983245134,-76.2399982959032,-69.6399984434247,-61.3899986278266,-50.5099988710135,-54.1699987892061,-62.6399985998869,-71.179998409003,-77.5999982655048,-76.0599982999265
8,3217.5,33.956389,-119.976667,-75.199998319149,-74.1499983426183,-76.1499982979149,-75.9999983012676,-67.8799984827638,-58.3399986959994,-46.5999989584088,-50.0099988821894,-58.9299986828119,-68.6699984651059,-76.8299982827157,-77.0799982771277
8,3478.1,33.956389,-119.976667,-75.0199983231723,-73.5199983566999,-75.4499983135611,-75.6599983088672,-68.2599984742701,-59.5999986678362,-48.6199989132583,-52.4499988276511,-61.3799986280501,-70.7399984188378,-78.2099982518703,-77.6299982648343
8,3728.1,33.956389,-119.976667,-73.2699983622879,-71.6299983989447,-73.2699983622879,-73.7099983524531,-67.2199984975159,-59.7299986649305,-49.2099989000708,-52.4899988267571,-60.1799986548722,-68.5999984666705,-75.8599983043969,-75.6499983090907
8,3984.1,33.956389,-119.976667,-74.619998332113,-74.3799983374774,-77.479998268187,-78.2999982498586,-70.7699984181672,-61.2899986300617,-49.1899989005178,-51.8999988399446,-59.9399986602366,-68.8099984619766,-76.2899982947856,-76.2399982959032
8,4245.7,33.956389,-119.976667,-72.6599983759224,-72.4999983794987,-75.5699983108789,-76.5299982894212,-69.3499984499067,-60.2899986524135,-48.239998921752,-50.5299988705665,-57.8899987060577,-66.2999985180795,-73.749998351559,-74.0099983457476
8,4486.7,33.956389,-119.976667,-73.1599983647466,-72.3999983817339,-74.5399983339012,-75.0199983231723,-68.0699984785169,-59.7399986647069,-48.219998922199,-50.5599988698959,-57.6199987120926,-65.9599985256791,-73.7299983520061,-74.4799983352423
8,4743.1,33.956389,-119.976667,-74.5099983345717,-72.939998369664,-74.2699983399361,-74.2899983394891,-67.3899984937161,-59.5699986685067,-48.7399989105761,-51.7699988428503,-59.3799986727536,-68.049998478964,-75.8999983035028,-76.4099982921034
8,4996.2,33.956389,-119.976667,-70.8499984163791,-70.9999984130263,-75.3799983151257,-77.1899982746691,-69.8499984387308,-59.9999986588955,-47.8299989309162,-51.0399988591671,-59.7899986635894,-68.5799984671175,-74.9599983245134,-73.2999983616173
8,5252.2,33.956389,-119.976667,-75.779998306185,-73.9599983468652,-74.9899983238429,-74.8099983278662,-67.8799984827638,-60.1899986546487,-49.5399988926947,-52.7499988209456,-60.5099986474961,-69.3199984505773,-77.2599982731044,-77.789998261258
8,5614.6,33.956389,-119.976667,-73.5999983549118,-72.919998370111,-75.3499983157963,-75.7199983075261,-68.1799984760582,-59.0499986801296,-47.2499989438802,-50.0599988810718,-58.0599987022579,-67.0499985013157,-74.8599983267486,-75.1899983193725
8,5827.3,33.956389,-119.976667,-73.5899983551353,-73.0899983663112,-75.9199983030558,-76.3499982934445,-68.3499984722584,-58.4999986924231,-46.4099989626557,-49.5799988918006,-58.3499986957759,-67.8099984843284,-75.5499983113259,-75.4199983142316
8,5953.2,33.956389,-119.976667,-74.5099983345717,-74.4699983354658,-77.9199982583523,-78.7699982393533,-70.8099984172732,-60.6899986434728,-48.2699989210814,-51.1899988558143,-59.7999986633658,-69.0599984563887,-76.5499982889742,-76.2299982961267
8,6130.9,33.956389,-119.976667,-72.1499983873218,-71.4599984027445,-75.489998312667,-76.629998287186,-68.1899984758347,-57.3599987179041,-45.5299989823252,-50.6499988678843,-62.0999986119568,-72.6199983768165,-79.0399982333183,-76.0199983008206
24,3196.3,53.333333,-60.583333,-28.9299993533641,-31.9299992863089,-36.8499991763383,-44.9099989961833,-50.9699988607317,-52.1299988348037,-49.6399988904595,-50.229998877272,-45.5299989823252,-43.6499990243465,-36.8599991761148,-29.4999993406236
24,3433.8,53.333333,-60.583333,-27.5499993842095,-29.7099993359298,-33.5199992507696,-41.9699990618974,-50.2799988761544,-54.5499987807125,-53.6399988010526,-53.4099988061935,-46.1699989680201,-42.2499990556389,-34.8699992205948,-28.0399993732572
24,3672.5,53.333333,-60.583333,-30.399999320507,-32.7499992679805,-35.6299992036074,-42.2299990560859,-48.1899989228696,-50.2199988774955,-47.9399989284575,-47.6199989356101,-41.5299990717322,-39.5399991162121,-34.419999230653,-29.6299993377179
24,3910.5,53.333333,-60.583333,-30.4999993182719,-33.3499992545694,-37.3699991647154,-44.7099990006536,-50.5899988692254,-51.949998838827,-49.359998896718,-49.3699988964945,-43.9399990178645,-42.0499990601093,-36.179999191314,-30.2399993240833
24,4147.1,53.333333,-60.583333,-29.9099993314594,-32.9199992641807,-36.6899991799146,-43.7599990218878,-49.5499988924712,-50.9199988618493,-48.0699989255518,-47.5099989380687,-41.4499990735203,-39.4099991191179,-34.0399992391467,-28.989999352023
24,4382,53.333333,-60.583333,-28.9999993517995,-30.8699993100017,-33.7999992445111,-41.4299990739673,-49.3199988976121,-53.5499988030642,-52.5899988245219,-52.1999988332391,-44.8599989973009,-41.2999990768731,-34.7899992223829,-28.9999993517995
24,4575.9,53.333333,-60.583333,-30.9299993086606,-32.2699992787093,-34.6199992261827,-41.3499990757555,-48.1099989246577,-51.369998851791,-50.3599988743663,-51.0199988596141,-45.3999989852309,-43.2499990332872,-37.3599991649389,-31.3999992981553
24,4765.3,53.333333,-60.583333,-29.5999993383884,-32.9799992628396,-37.8199991546571,-45.2099989894778,-50.1199988797307,-49.9899988826364,-46.6099989581853,-46.9899989496917,-42.7599990442395,-41.7199990674853,-35.909999197349,-29.4699993412942
24,4955.3,53.333333,-60.583333,-29.2499993462116,-31.6499992925674,-35.7699992004782,-43.2099990341812,-49.0299989040941,-50.3399988748133,-48.2099989224225,-49.2399988994002,-44.9899989943951,-43.5699990261346,-37.1799991689622,-30.0199993290007
24,5145.4,53.333333,-60.583333,-29.3999993428588,-31.7599992901087,-35.4599992074072,-43.1499990355223,-50.0999988801777,-52.8799988180399,-51.1799988560379,-51.1999988555908,-45.049998993054,-42.3299990538508,-35.8599991984665,-29.5599993392825
24,5335,53.333333,-60.583333,-28.8799993544817,-32.159999281168,-36.8799991756678,-44.8199989981949,-51.0099988598377,-52.3799988292158,-49.6099988911301,-49.3499988969415,-43.5899990256876,-41.2699990775436,-34.9199992194772,-28.6099993605167
24,5525.8,53.333333,-60.583333,-31.2599993012846,-34.0099992398173,-37.8899991530925,-44.8899989966303,-50.2399988770485,-51.099998857826,-48.3599989190698,-48.6799989119172,-43.8799990192056,-42.5599990487099,-36.9899991732091,-31.0699993055314
24,5715.3,53.333333,-60.583333,-29.2199993468821,-31.6999992914498,-35.0899992156774,-42.0599990598857,-48.0299989264458,-49.8299988862127,-47.5299989376217,-47.5099989380687,-41.8499990645796,-39.929999107495,-34.3599992319942,-28.8599993549287
24,5905.5,53.333333,-60.583333,-29.7699993345886,-33.029999261722,-37.8499991539866,-44.8299989979714,-48.8499989081174,-47.7399989329278,-44.1199990138412,-45.2299989890307,-42.3199990540743,-42.2999990545213,-36.7799991779029,-29.9899993296713
24,6092.9,53.333333,-60.583333,-29.8299993332475,-32.5299992728978,-36.3599991872907,-43.5099990274757,-49.2699988987297,-50.5999988690019,-48.0799989253283,-48.2299989219755,-42.9899990390986,-41.2699990775436,-35.5299992058426,-29.6299993377179
24,6284.8,53.333333,-60.583333,-28.9499993529171,-32.1699992809445,-37.1999991685152,-44.9399989955127,-50.2199988774955,-50.4399988725781,-47.4199989400804,-48.1099989246577,-44.0299990158528,-42.7999990433455,-36.4599991850555,-29.3199993446469
