"siteid","age","LAT","LON","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
8,611.9,33.956389,-119.976667,-72.06999838911,-70.059998434037,-71.8799983933568,-73.3899983596057,-68.7099984642118,-63.2199985869229,-53.8799987956882,-57.0899987239391,-63.6299985777587,-70.5499984230846,-76.4299982916564,-75.1899983193725
8,1066.2,33.956389,-119.976667,-70.7799984179437,-69.3199984505773,-71.9599983915687,-73.769998351112,-68.6399984657764,-62.2099986094981,-52.2699988316745,-55.5399987585843,-62.5899986010045,-69.8099984396249,-75.5499983113259,-73.8999983482063
8,1263.8,33.956389,-119.976667,-71.7099983971566,-70.0899984333664,-72.2399983853102,-73.8499983493239,-68.9899984579533,-63.0999985896051,-53.3399988077581,-56.2199987433851,-62.5899986010045,-69.4899984467775,-75.4799983128905,-74.4799983352423
8,1522,33.956389,-119.976667,-70.7399984188378,-68.9999984577298,-71.2199984081089,-73.0499983672053,-68.5399984680116,-63.0299985911697,-53.5599988028407,-56.569998735562,-62.8799985945225,-69.5399984456599,-75.1899983193725,-73.7999983504415
8,1792.1,33.956389,-119.976667,-72.029998390004,-70.4599984250963,-72.9699983689934,-74.909998325631,-70.2299984302372,-64.3899985607713,-54.7199987769127,-57.7999987080693,-64.3399985618889,-71.1299984101206,-76.6999982856214,-75.1299983207136
8,2109.5,33.956389,-119.976667,-71.6399983987212,-69.3999984487891,-70.929998414591,-72.2599983848631,-67.5999984890223,-62.2599986083806,-53.089998813346,-56.4299987386912,-63.0499985907227,-70.0499984342605,-76.0199983008206,-74.8299983274192
8,2397.6,33.956389,-119.976667,-70.7099984195083,-69.4399984478951,-72.0799983888865,-74.1699983421713,-69.6699984427541,-63.9199985712767,-54.0499987918884,-56.5899987351149,-62.4699986036867,-68.879998460412,-74.5199983343482,-73.3599983602762
8,2679.7,33.956389,-119.976667,-71.7499983962625,-70.3999984264374,-72.9099983703345,-74.7299983296543,-69.8399984389544,-63.719998575747,-53.7399987988174,-56.5399987362325,-62.9099985938519,-69.7599984407425,-75.6199983097613,-74.4699983354658
8,2949.5,33.956389,-119.976667,-71.199998408556,-69.479998447001,-71.779998395592,-73.6099983546883,-68.9499984588474,-63.2199985869229,-53.6799988001585,-56.839998729527,-63.4199985824525,-70.2599984295666,-75.8999983035028,-74.3599983379245
8,3217.5,33.956389,-119.976667,-71.739998396486,-69.6199984438717,-71.2299984078854,-72.6599983759224,-68.1299984771758,-62.8999985940754,-53.6799988001585,-56.7899987306446,-63.0899985898286,-69.8699984382838,-75.8299983050674,-74.7799983285367
