"ID2","LONDD","LATDD","ELEVATION","Tann"
1,-69.992,60.979,153,-71
2,-79.2,46.05,240,37
3,-57.033,52.517,200,-6
4,-85.5,36.033,305,138
5,-73.311,45.543,114,56
6,-70.685,47.482,648,10
7,-70.05,44.47,124,64
8,-67.331,45.256,106,56
9,-77.917,42.25,497,66
10,-70.596,46.279,330,36
11,-76.12,54.047,205,-39
12,-78.55,39.767,634,90
13,-88.474,33.563,49,169
14,-89.867,43.083,335,75
15,-95.167,47.183,457,34
16,-63.2,55.333,470,-54
17,-70.675,45.567,603,26
18,-74.683,43.917,600,42
19,-85.017,30.267,20,197
20,-71.7735,41.6979,104,92
21,-63.25,55.667,475,-56
22,-72.999,46.614,220,34
23,-74.658,41.3314,440,76
24,-76.146,54.799,340,-52
25,-86.53,41.65,244,96
26,-107.933,50.874,686,32
27,-93.27,42.02,329,83
28,-67.883,46.283,140,42
29,-115.317,67.833,43,-106
30,-80.283,38.2,1029,81
31,-81.267,49.183,259,5
32,-79.83,43.5,102,77
33,-77.55,39.967,290,107
34,-84.9536,44.7189,345,59
35,-91.1,36.8,244,129
36,-105.267,55.267,369,-10
37,-91.475,45.275,334,60
38,-71.833,44.033,1325,8
39,-85,43.48,248,76
40,-89.732,43.418,294,72
41,-69.958,60.988,114,-65
42,-76.45,36.583,6,152
43,-70.35,45.85,650,22
44,-71.6593,44.1605,1265,13
45,-80.25,44.367,518,49
46,-95.808,34.406,263,161
47,-83.63,42.33,271,90
48,-93.75,49.583,391,24
49,-94.417,44.95,327,65
50,-73.476,46.276,250,37
51,-87.7305,44.0534,210,70
52,-60.392,46.067,81,55
53,-86.134,31.721,105,180
54,-100.467,64.717,204,-127
55,-62.633,55.033,565,-52
56,-78.997,37.985,469,116
57,-76.7,44.417,145,62
58,-53.133,47.322,220,39
59,-73.968,44.181,661,38
60,-73.979,42.242,107,85
61,-63.033,58.2,170,-48
62,-89.7,46.183,488,37
63,-74.433,40.383,15,114
64,-78.67,42.542,428,72
65,-86.53,41.67,239,96
66,-66.083,66.135,90,-104
67,-81.767,47.317,430,18
68,-85.717,37.45,212,133
69,-92.717,46.417,324,43
70,-92.62,46.72,386,37
71,-70.3,46.717,658,19
72,-67.5,54.8,564,-51
73,-73.331,45.964,18,56
74,-84.783,45.067,411,58
75,-89.9,46.25,488,38
76,-81.317,48.4,305,10
77,-73.217,46,20,55
78,-93.6,47.283,391,35
79,-66.717,45.144,64,58
80,-91.483,45.283,330,60
81,-83.258,30.725,49,195
82,-73.303,45.992,18,55
83,-101.233,62.633,259,-108
84,-80.66,43.225,300,70
85,-71.423,47.078,503,36
86,-94.933,47.183,429,34
87,-64.833,56.783,365,-55
88,-71.433,41.783,12,97
89,-89.417,43.1,257,78
90,-89.417,43.1,257,78
91,-75.507,45.4,69,60
92,-73.283,41.817,360,77
93,-69.3,43.767,3,NA
94,-58.05,52.267,385,-10
95,-68.639,44.628,143,64
96,-81.867,29.3,15,208
97,-93.383,47.983,393,28
98,-61.817,56.533,92,-33
99,-95.386,34.663,170,166
100,-103.483,61.583,348,-88
101,-81.5,46.6,380,29
102,-79.467,46.45,369,36
103,-73.05,42.65,586,59
104,-60.167,53.517,29,-2
105,-95.2,43.333,426,73
106,-94.4,46.35,363,48
107,-77.5081,40.7918,634,80
108,-57.75,53.05,180,-9
109,-71.45,41.517,3,99
110,-97.2708,45.5025,565,58
111,-93.633,45.033,292,67
112,-81.25,42.917,274,74
113,-80.1389,37.601,1090,88
114,-85.25,41.583,294,88
115,-64.8,47.075,6,NA
116,-65.167,57.633,381,-65
117,-76.1,45.6,200,48
118,-92.7,49.35,460,15
119,-93.167,32.467,61,177
120,-99.65,50.717,724,0
121,-76.683,36.167,6,154
122,-57.717,54.4,100,-10
123,-81.95,27.967,51,222
124,-64.183,45.017,30,65
125,-82,29.517,51,205
126,-83.8,40.35,332,98
127,-91.567,49.933,410,7
128,-100.75,63.033,265,-114
129,-63.883,56.633,522,-62
130,-76.35,41.674,342,80
131,-58.917,53.95,137,NA
132,-84.689,40.217,309,100
133,-52.667,47.617,100,51
134,-102.509,41.721,1163,82
135,-74.483,40.4,29,113
136,-91.45,44.15,244,71
137,-75.2667,41.0382,277,87
138,-70.62,46.58,404,33
139,-96.083,47.2,370,42
140,-73.317,45.546,137,58
141,-65.167,55.767,442,-59
142,-81.5,27.583,34,224
143,-67.5,55.017,610,-56
144,-62.05,57.383,122,-38
145,-79.38,44,297,66
146,-78.95,44.617,274,58
147,-88.184,42.351,229,85
148,-91.66,47.472,559,30
149,-80.775,34.167,90,165
150,-57.3,51.517,98,1
151,-71.117,41.967,20,97
152,-85.383,42.4,271,88
153,-93.567,45,291,66
154,-85.661,46.429,259,48
155,-90.079,45.335,500,44
156,-87.95,46.75,445,35
157,-138.4,64.633,1160,-85
158,-89.188,38.904,162,122
159,-95.808,34.406,263,161
160,-63.025,46.25,15,58
161,-93.164,44.822,254,71
162,-76.129,54.147,130,-38
163,-70.358,54.356,595,-50
164,-79.072,37.996,500,113
165,-70.616,47.61,305,25
166,-78.917,46.4,305,33
167,-80.413,43.237,301,72
168,-79.45,45.217,305,48
169,-90.583,36.6,91,143
170,-95.284,46.212,443,46
171,-69.41,43.921,37,NA
172,-95.307,46.184,446,47
173,-120.881,45.918,714,75
174,-110.261,44.299,2362,1
175,-69.317,44.983,89,57
176,-70.35,44.033,94,70
177,-70.35,43.967,95,70
178,-68.2,45.033,110,56
179,-114.15,59.25,880,-45
180,-118.7,62.05,745,-68
181,-126.117,65.217,650,-83
182,-120.667,57.45,900,-18
183,-119.717,56.717,1100,-16
184,-114.6,50.767,1480,16
185,-122.167,59.517,651,-33
186,-78.954,33.799,10,173
187,-91.5,42.986,308,77
188,-112.1,57.767,725,-28
189,-107.011,44.294,2665,8
190,-80.698,46.828,333,32
191,-84.258,47.308,422,20
192,-77.175,44.85,274,54
193,-107.466,44.5,2609,-6
194,-99.906,44.836,549,70
195,-76.378,57.117,210,-65
196,-75.245,58.578,160,-69
197,-74.583,49.683,830,-2
198,-81.332,27.234,45,223
199,-83.195,30.642,58,195
200,-64.94,48.198,116,35
201,-65.95,48.967,915,-14
202,-66.125,48.911,494,11
203,-71.717,58.867,250,-68
204,-65.839,48.238,65,38
205,-72.067,58.233,200,-64
206,-72,48.5,97,26
207,-155.033,67.683,460,-138
208,-146.483,68.333,881,-117
209,-156.033,68.133,631,-114
210,-155.033,66.917,122,-79
211,-156.45,66.967,213,-83
212,-153.9,67.133,820,-124
213,-155.05,67.933,820,-122
214,-153.65,67.147,820,-110
215,-154.233,67.067,210,-87
216,-147.85,67.433,640,-91
217,-145.217,68.267,637,-123
218,-157.217,66.767,183,-73
219,-143.15,66.583,189,-71
220,-142.067,67.2,211,-87
221,-152.6,67.25,914,-108
222,-151.267,64.333,305,-43
223,-151.083,63.483,610,-50
224,-145.7,63.067,1000,-57
225,-110.6,44.956,2012,23
226,-110.567,64.117,480,-102
227,-110.583,64.133,480,-103
228,-119.483,56.767,1050,-16
229,-83.254,30.622,34,196
230,-84.249,30.522,40,194
231,-75.25,58.583,170,-69
232,-75.25,55.092,244,-48
233,-75.017,55.833,305,-55
234,-75.067,55.413,285,-53
235,-75.7,55.067,235,-51
236,-74.933,55.25,335,-51
237,-75.95,55.117,255,-51
238,-76.39,57.113,190,-63
239,-76.378,57.117,210,-65
240,-76.405,57.123,250,-63
241,-76.415,57.123,250,-63
242,-76.408,57.125,260,-63
243,-73.517,55,395,-52
244,-73.562,55,395,-52
245,-73.542,55.002,400,-53
246,-73.517,55.003,395,-53
247,-73.55,55,395,-52
248,-73.558,55.002,395,-52
249,-73.545,55.003,395,-53
250,-66.767,54.767,505,-48
251,-66.767,54.767,505,-48
252,-66.767,54.767,505,-48
253,-74.945,56.023,260,-56
254,-74.975,56.02,280,-57
255,-75.25,55.117,325,-46
256,-66.8,54.8,579,-49
257,-66.8,54.8,579,-49
258,-66.8,54.8,579,-49
259,-74.583,55.625,320,-55
260,-74.6,55.617,320,-56
261,-75.255,58.585,170,-69
262,-74.913,59.14,120,-70
263,-74.95,59.158,117,-69
264,-66.733,54.767,503,-48
265,-74.9,56.943,300,-65
266,-77.717,55.283,84,-49
267,-77.718,55.287,99,-49
268,-77.703,55.292,99,-49
269,-77.7,55.292,99,-49
270,-77.7,55.295,99,-49
271,-66.75,54.767,518,-48
272,-76.305,57.758,120,-65
273,-76.11,57.725,120,-63
274,-117.217,52.242,2355,-34
275,-71.575,41.158,28,103
276,-75.617,57.917,200,-69
277,-93.734,44.296,310,65
278,-93.5,44.706,281,64
279,-93.62,44.471,312,62
280,-93.341,44.711,280,66
281,-93.433,44.627,287,64
282,-93.1,44.875,285,71
283,-113.65,48.8,1463,33
284,-113.567,48.833,1463,30
285,-113.45,48.85,1372,39
286,-113.367,48.833,1463,31
287,-113.3,48.85,1585,30
288,-113.25,48.85,1524,31
289,-113.167,48.767,1433,38
290,-113.117,48.717,1524,35
291,-113.117,48.55,1433,39
292,-113.017,48.617,1402,42
293,-112.967,48.533,1402,43
294,-112.75,48.583,1280,46
295,-112.183,48.733,1098,55
296,-111.917,48.75,1037,60
297,-111.7,48.75,1037,60
298,-111.417,48.75,1067,57
299,-111.267,48.883,1250,46
300,-111.117,48.917,1341,41
301,-111.033,48.883,1341,43
302,-110.983,48.95,1037,51
303,-110.883,48.883,1037,50
304,-110.5,48.883,945,51
305,-110.117,48.8,823,53
306,-109.867,48.9,854,46
307,-109.617,48.75,823,52
308,-108.95,48.867,1067,37
309,-108.667,48.867,976,41
310,-108.467,48.867,915,41
311,-108.133,48.917,854,41
312,-107.783,48.833,854,42
313,-107.583,48.75,793,45
314,-107.283,48.733,854,44
315,-107.083,48.8,793,44
316,-106.8,48.883,793,42
317,-106.533,48.883,945,34
318,-106.233,48.867,945,36
319,-103.167,47.8,701,58
320,-102.7,47.967,671,49
321,-102.033,47.967,640,44
322,-101.733,47.967,640,41
323,-101.217,47.967,640,39
324,-127.5,66.167,125,-74
325,-126.167,65.833,356,-79
326,-128.167,65.75,103,-70
327,-123.5,64.833,220,-67
328,-122.7,64.417,239,-61
329,-123.5,64.4,353,-66
330,-122.233,62.333,589,-57
331,-120.433,63.817,293,-59
332,-122.617,63.883,452,-66
333,-122.967,62.75,239,-47
334,-122.967,63.217,435,-58
335,-122.733,63.617,347,-59
336,-121.05,62.167,338,-46
337,-114.35,62.433,181,-56
338,-120.05,61.2,276,-32
339,-116.2,60.583,260,-35
340,-116.75,55.633,622,6
341,-114.667,55.25,584,4
342,-113.667,55.083,642,6
343,-112.75,54.5,704,14
344,-111.167,54.333,585,11
345,-114.833,51.8,1206,15
346,-117.767,53.267,1113,20
347,-117.133,53.583,1054,24
348,-116.1,53.6,908,20
349,-116.833,54.45,783,25
350,-117.5,55.083,688,14
351,-115.667,54.467,1037,4
352,-117.5,57.5,655,-10
353,-111.333,53.933,639,14
354,-114.167,53.55,726,23
355,-117.9,52.7,1238,17
356,-116.167,52.45,1395,11
357,-116.417,51.667,2225,-32
358,-115.333,51.25,1415,12
359,-114.25,49.567,1202,39
360,-110.717,52.083,730,18
361,-110.4,51.45,766,23
362,-112.167,51.367,914,25
363,-111.083,49.917,833,46
364,-112.417,49.8,820,53
365,-114.167,51.167,1203,25
366,-70.208,41.283,6,NA
367,-93.35,43.15,374,73
368,-119.008,37.596,2816,29
369,-119.068,37.663,2438,45
370,-109.517,42.317,2043,26
371,-109.033,42.3,2134,35
372,-108.867,42.45,2439,24
373,-108.717,42.55,2500,21
374,-108.5,42.95,1524,73
375,-108.117,43.367,1494,78
376,-108.183,43.467,1524,68
377,-108.117,43.8,1235,73
378,-107.533,44.017,1402,65
379,-107.25,44.167,2439,14
380,-107.133,44.167,2866,-6
381,-106.933,44.317,2256,27
382,-106.733,44.333,1524,67
383,-105.533,44.283,1387,64
384,-105.167,44.267,1372,69
385,-104.917,44.3,1280,70
386,-104.183,44.533,1220,74
387,-103.717,44.333,1738,59
388,-103.417,44.417,976,82
389,-102.85,44.517,793,79
390,-102.45,44.583,854,74
391,-102.067,44.667,762,76
392,-102,45.033,793,72
393,-102,45.033,793,72
394,-101.2,45,732,68
395,-100.35,45.067,579,73
396,-99.333,45.033,549,65
397,-98.75,44.9,412,67
398,-98.75,44.9,412,67
399,-97.467,44.883,549,60
400,-119.258,37.908,3018,16
401,-94.5572,44.8031,320,65
402,-93.688,45.425,291,62
403,-93.704,46.128,394,43
404,-95.167,47.183,457,34
405,-94.917,47.183,451,35
406,-96.017,45.761,333,55
407,-95.733,47.183,457,36
408,-95.915,46.174,418,49
409,-93.508,45.333,281,64
410,-94.753,46.219,387,49
411,-95.558,47.165,509,33
412,-92.467,46.583,337,40
413,-95.75,47.2,462,36
414,-95.783,47.217,446,36
415,-95.872,47.19,392,40
416,-93.983,45.429,293,62
417,-93.117,44.758,285,69
418,-92.87,46.353,322,44
419,-93.613,44.45,315,63
420,-93.694,44.45,306,63
421,-93.103,46.086,344,44
422,-93.364,45.749,295,52
423,-95.698,47.178,445,36
424,-93.68,46.068,380,44
425,-93.273,45.781,48,52
426,-93.733,45.133,301,67
427,-95.775,47.188,466,36
428,-96.167,47.6,365,40
429,-95.833,47.209,405,39
430,-94.2,44.9,328,66
431,-96.25,46.662,397,47
432,-93.467,45.725,293,53
433,-93.408,45.572,283,58
434,-93.522,45.4,297,62
435,-93.981,45.41,295,62
436,-93.168,45.849,301,50
437,-99.233,47.15,580,45
438,-94.113,47.081,396,39
439,-79.48,43.64,74,83
440,-79.49,43.64,74,83
441,-79.5,43.65,74,83
442,-95.008,47.244,429,34
443,-95.008,47.244,429,34
444,-95.575,46.922,443,37
445,-95.575,46.922,443,37
446,-93.783,46.133,380,45
447,-104,50.78,478,23
448,-93.831,44.227,308,66
449,-93.567,44.589,274,62
450,-77.433,45.033,316,50
451,-89.324,48.422,250,22
452,-77.917,44.3,167,61
453,-88.74,48.56,250,19
454,-59.367,47.862,10,NA
455,-80.117,47,294,31
456,-79.98,44.85,196,61
457,-76.9,43.51,75,82
458,-79.47,43.64,76,84
459,-78.15,43.557,75,82
460,-94.25,51.383,400,1
461,-127.05,65.217,127,-59
462,-127.75,65.517,335,-63
463,-128.567,65.683,122,-72
464,-97.117,30.367,142,195
465,-107.26,44.179,2561,10
466,-70.058,41.275,4,96
467,-70.058,41.275,14,96
468,-70.133,41.25,3,NA
469,-70.183,41.258,3,NA
470,-69.983,41.275,9,97
471,-70.167,41.258,3,NA
472,-70.133,41.275,6,97
473,-70.017,41.283,9,97
474,-70.017,41.283,9,97
475,-70.05,41.275,6,97
476,-70.008,41.283,9,96
477,-70.017,41.275,6,97
478,-70.017,41.308,3,97
479,-70.008,41.292,6,97
480,-70.008,41.308,6,97
481,-94.967,47.558,421,32
482,-94.75,46.867,424,39
483,-95.317,46.967,460,36
484,-94.95,46.95,435,37
485,-94.133,46.55,368,44
486,-72.983,45.283,53,62
487,-73.993,45.996,365,36
488,-122.547,49.308,305,84
489,-121.5,50.35,320,13
490,-112.717,48.55,1233,48
491,-122.25,46.592,282,92
492,-55.506,48.936,75,44
493,-56.196,50.034,236,21
494,-52.714,47.59,70,51
495,-55.473,49.471,105,41
496,-122.492,45.8,155,105
497,-110.6,44.65,2530,-12
498,-110.233,43.933,2628,-9
499,-110.3,44.067,2634,-6
500,-110.6,43.75,2073,13
501,-110.317,43.767,2469,-1
502,-110.233,44.15,2730,-20
503,-110.35,44.933,1884,28
504,-117.858,33.658,2,170
505,-98.667,38.467,547,130
506,-84.187,35.621,262,143
507,-84.211,35.585,240,142
508,-105.5,37.55,3523,4
509,-112,34,1125,173
510,-119.833,37,2219,167
511,-111.183,44.125,1840,35
512,-110.733,44.917,2215,10
513,-102.3,49.817,746,16
514,-93.183,45.425,278,62
515,-93.197,45.411,275,63
516,-85.04,46.7,190,44
517,-92.158,48.233,401,26
518,-91.9,48.033,428,29
519,-91.642,47.708,506,31
520,-89.483,45.783,488,41
521,-89.317,45.85,500,40
522,-89.625,45.933,491,39
523,-89.375,45.986,501,39
524,-84.958,46.427,264,45
525,-84.958,46.427,264,45
526,-84.958,46.427,264,45
527,-83.01,39.354,197,111
528,-83.533,40.1,320,102
529,-84.75,41.417,249,91
530,-81.333,41.199,322,94
531,-82.938,39.668,212,111
532,-82.933,40.797,318,95
533,-90.933,47.958,570,27
534,-71.317,44.267,1550,7
535,-71.317,44.267,1550,7
536,-71.317,44.267,1160,7
537,-79.344,39.045,1204,69
538,-79.6,39.1,1120,82
539,-79.383,39.126,950,78
540,-79.4177,39.4943,713,83
541,-93.633,45.033,292,67
542,-93.633,45.033,292,67
543,-93.633,45.033,292,67
544,-93.633,45.033,292,67
545,-93.633,45.033,292,67
546,-93.633,45.033,292,67
547,-93.633,45.033,292,67
548,-93.633,45.033,292,67
549,-93.633,45.033,292,67
550,-93.633,45.033,292,67
551,-93.55,44.967,300,68
552,-77.34,46.03,160,51
553,-55.53,51.6,5,12
554,-79.44,44.18,228,66
555,-126.417,65.233,330,-66
556,-91.346,44.083,211,72
557,-92,44.7,231,70
558,-89.7,45.8,483,40
559,-88.633,45.867,456,41
560,-89,45.7,498,42
561,-88.914,45.16,438,47
562,-88.521,45.044,271,55
563,-88.9,44.8,295,56
564,-88.931,44.366,246,67
565,-88.861,44.349,228,68
566,-89.371,44.349,338,63
567,-89.3,44.1,320,67
568,-89.4,43.1,259,78
569,-89,42.9,237,80
570,-77.925,41.917,690,64
571,-55.55,51.573,5,12
572,-79.5,45.38,323,48
573,-79.78,47.23,292,25
574,-81.73,43.22,184,78
575,-57.71,49.69,678,11
576,-78.1,44.1,170,60
577,-82.76,41.92,168,96
578,-79.38,45.42,333,48
579,-79.1,43.82,75,82
580,-84.93,48.21,440,11
581,-80.86,44.74,176,64
582,-57.95,49.67,2,35
583,-80.2,50.22,263,-7
584,-58.24,48.24,100,32
585,-80.09,45.05,433,60
586,-76.7,44.22,74,68
587,-78.34,44.1,188,66
588,-92,49.48,470,11
589,-79.98,44.82,220,59
590,-79.77,44.17,188,63
591,-58.8,48.26,32,44
592,-82.32,42.98,185,82
593,-116.33,50.75,1100,23
594,-80.4,43.9,484,54
595,-80.4,43.91,484,54
596,-93.644,47.136,478,33
597,-93.683,47.133,436,32
598,-93.667,47.133,468,33
599,-119.083,37,1683,72
600,-119.533,37.9,2743,22
601,-119.26,37.196,2015,118
602,-119.817,37.95,1554,94
603,-93.183,45.425,278,62
604,-128.8,63.017,1380,-78
605,-107.684,37.746,3200,2
606,-107.698,37.738,3220,-2
607,-107.8,37.483,2690,66
608,-105.58,39.937,2848,18
609,-107.808,37.613,2694,34
610,-79.616,38.155,620,106
611,-116.417,51.65,1940,-23
612,-105.542,40.083,3095,4
613,-89.675,43.433,381,67
614,-87.848,44.238,261,66
615,-68.7547,44.9264,35,62
616,-110.284,44.49,2500,0
617,-93.692,44.892,288,65
618,-93.692,44.892,288,65
619,-92.017,48.108,446,26
620,-86.433,41.083,235,97
621,-92.017,48.108,446,26
622,-92.017,48.108,446,26
623,-92.017,48.108,446,26
624,-92.017,48.108,446,26
625,-92.017,48.108,446,26
626,-92.017,48.108,446,26
627,-92.017,48.108,446,26
628,-92.017,48.108,446,26
629,-92.017,48.108,446,26
630,-92.017,48.108,446,26
631,-92.017,48.108,446,26
632,-92.017,48.108,446,26
633,-92.017,48.108,446,26
634,-92.017,48.108,446,26
635,-92.017,48.108,446,26
636,-87.516,44.45,211,66
637,-93.125,44.271,254,67
638,-62.917,57.333,500,-61
639,-62.8,57.333,500,-62
640,-63.133,57.283,410,-59
641,-63.167,57.167,510,-62
642,-63.083,57.133,500,-60
643,-62.867,57.267,470,-62
644,-64.533,56.65,510,-63
645,-64.5,56.65,523,-63
646,-64.5,56.583,510,-61
647,-64.183,56.3,510,-61
648,-62.667,57.617,150,-46
649,-64.25,56.367,460,-59
650,-63.95,56.283,480,-58
651,-64.417,56.167,470,-57
652,-63.383,55.4,526,-56
653,-62.033,55.45,388,-44
654,-62.65,55.233,623,-57
655,-62.733,55.2,575,-55
656,-62.733,55.1,569,-54
657,-62.65,55.033,559,-53
658,-63.117,55.05,554,-53
659,-63.2,55.133,545,-56
660,-62.25,55.217,570,-53
661,-62.2,55.1,590,-52
662,-63.25,54.867,530,-52
663,-63.117,54.6,507,-47
664,-63.033,54.883,352,-50
665,-62.733,54.867,513,-53
666,-62.717,54.9,565,-54
667,-63.033,54.767,589,-53
668,-62.883,54.333,450,-42
669,-62.45,54.883,566,-52
670,-62.35,54.8,587,-50
671,-62.383,54.817,578,-50
672,-61.283,54.567,126,-22
673,-61.2,54.467,290,-27
674,-61.283,54.45,295,-30
675,-61.25,54.417,289,-27
676,-61.117,54.383,305,-27
677,-61.15,54.367,306,-27
678,-61.133,54.3,285,-26
679,-60.883,54.3,280,-25
680,-60.15,54.717,160,-14
681,-60.233,53.717,195,-13
682,-60.317,53.683,124,-9
683,-60.683,53.633,295,-18
684,-60.75,53.617,136,-13
685,-60.9,53.617,220,-16
686,-60.617,53.6,255,-16
687,-56.283,52.55,57,NA
688,-56.533,52.45,295,-4
689,-56.7,52.867,221,-5
690,-56.383,52.733,78,-1
691,-56.667,52.6,135,-5
692,-56.183,52.6,73,-3
693,-56.667,52.417,235,-6
694,-57.033,52.4,375,-11
695,-57.367,52.5,337,-12
696,-57.817,52.583,406,-16
697,-57.717,52.367,380,-15
698,-57.45,52.133,357,-11
699,-57.55,52.2,371,-11
700,-57.433,52.2,379,-12
701,-57.867,52.083,319,-11
702,-57.833,52.083,319,-12
703,-57.233,51.5,43,9
704,-56.75,51.583,195,3
705,-138.383,68.383,500,-115
706,-92.107,48.165,374,27
707,-74.204,41.239,223,93
708,-74.038,41.391,380,86
709,-76.683,44.8,206,56
710,-81.637,31.081,6,196
711,-98.158,46.858,444,42
712,-101.53,48.008,620,40
713,-98.587,47.074,437,47
714,-110.482,47.635,1019,69
715,-116.35,51.36,2015,-17
716,-116.313,51.343,2280,-36
717,-94.883,72.017,110,-163
718,-94.767,72.017,130,-162
719,-95.033,72.483,240,-164
720,-95.067,72.583,160,-162
721,-94.383,72.683,150,-159
722,-93.95,72.833,220,-162
723,-122.042,43.65,1465,41
724,-112.217,36.717,2590,66
725,-107.051,40.024,3165,-4
726,-111.667,38.617,2720,25
727,-105.5,37.7,2300,7
728,-111.7,37.95,2653,36
729,-85.217,73.035,91,-138
730,-144.75,64,343,-36
731,-144.65,63.711,442,-36
732,-68.733,45.042,58,59
733,-131.76,52.93,650,67
734,-105.45,43.5,1450,74
735,-108.25,33.867,2069,87
736,-108.25,33.867,2069,87
737,-108.3,33.7,2080,82
738,-92.183,48.183,403,26
739,-119.625,37.725,1212,116
740,-91.995,47.924,414,31
741,-162.2,63.5,15,-30
742,-146.908,64.444,208,-35
743,-146.063,63.029,897,-51
744,-131.9067,52.72,550,59
745,-132.408,53.267,595,61
746,-89.58,39.72,171,116
747,-88.93,40.65,219,105
748,-87.65,40.17,198,106
749,-88.92,39.83,198,114
750,-88.43,39.42,213,114
751,-89,38.57,152,124
752,-89.12,37.75,137,131
753,-89.97,39.22,168,119
754,-90.22,39.95,183,111
755,-90.22,39.67,183,113
756,-90.17,40.55,198,105
757,-89.83,37.28,152,134
758,-90.3,36.92,152,138
759,-92.28,36.58,244,138
760,-93.3,37.3,335,131
761,-93.33,37.88,320,130
762,-92.63,38.22,244,129
763,-87.67,37.92,137,135
764,-88.85,37.67,137,130
765,-85.73,37.55,221,133
766,-85.72,37.22,198,135
767,-85.95,37.15,213,137
768,-86.1,37.15,213,134
769,-86.83,36.78,198,136
770,-87.22,37.32,152,137
771,-87.47,37.35,122,140
772,-87.53,37.8,152,136
773,-87.58,37.6,137,136
774,-109.425,34,2780,54
775,-110.833,34.333,2285,76
776,-149.75,65.867,100,-52
777,-149.75,65.867,100,-52
778,-149.75,65.867,100,-52
779,-149.833,65.883,150,-49
780,-149.917,65.917,200,-49
781,-149.917,65.917,200,-49
782,-149.917,65.917,200,-49
783,-150,65.983,183,-54
784,-150.583,66.417,466,-67
785,-150.617,66.442,450,-63
786,-150.667,66.45,416,-68
787,-150.667,66.45,416,-68
788,-150.667,66.45,416,-68
789,-150.7,66.467,650,-74
790,-150.783,66.517,333,-63
791,-150.783,66.517,333,-63
792,-150.783,66.517,333,-63
793,-150.8,66.55,433,-60
794,-150.75,66.583,533,-69
795,-150.75,66.583,533,-69
796,-150.75,66.583,533,-69
797,-150.7,66.617,366,-62
798,-150.667,66.633,283,-65
799,-150.667,66.633,283,-65
800,-150.667,66.633,283,-65
801,-150.7,66.75,533,-74
802,-150.7,66.75,533,-74
