"entitynum","sitenum","sigle","data_source"
1,1,"YEV1","apd_web_paradox"
2,2,"AH1","apd_web_paradox"
3,3,"01DIOGO","apd_web_paradox"
4,4,"02DIOGO","apd_web_paradox"
5,5,"02GUIERS","apd_web_paradox"
6,6,"03GUIERS","apd_web_paradox"
7,7,"CHEM1","apd_web_paradox"
8,8,"CHEM2","apd_web_paradox"
9,9,"GAMA2","apd_web_paradox"
10,10,"GAMA4","apd_web_paradox"
11,11,"KAI","apd_web_paradox"
12,12,"KAJ","apd_web_paradox"
13,13,"KT3","apd_web_paradox"
14,14,"KUL","apd_web_paradox"
15,15,"LH1","apd_web_paradox"
16,16,"LH3","apd_web_paradox"
17,17,"LS3","apd_web_paradox"
18,18,"OURSI","apd_web_paradox"
19,19,"OW4","apd_web_paradox"
20,20,"OYO","apd_web_paradox"
21,21,"SN2","apd_web_paradox"
22,22,"SN3","apd_web_paradox"
23,23,"TILLA","apd_web_paradox"
24,24,"BAL","apd_web_paradox"
25,25,"BIRATRUN","apd_web_paradox"
26,26,"DANGBO","apd_web_paradox"
27,27,"GOHO","apd_web_paradox"
28,28,"SELIMA","apd_web_paradox"
29,29,"SOA-99","apd_web_paradox"
30,30,"TJERI","apd_web_paradox"
31,31,"THIAYE","apd_web_paradox"
32,32,"AB5CV","apd_web_paradox"
33,33,"ABIYATA","apd_web_paradox"
34,34,"AH2","apd_web_paradox"
35,35,"ALB2PC","apd_web_paradox"
36,36,"ALB3PC","apd_web_paradox"
37,37,"ALBERT-F","apd_web_paradox"
38,38,"BADDA","apd_web_paradox"
39,39,"BOG2","apd_web_paradox"
40,40,"BOG3","apd_web_paradox"
41,41,"BS-6","apd_web_paradox"
42,42,"BUJUKU","apd_web_paradox"
43,43,"BUNYONYI","apd_web_paradox"
44,44,"DANKA","apd_web_paradox"
45,45,"DEGASALA","apd_web_paradox"
46,46,"IKIMBA2","apd_web_paradox"
47,47,"HYK99-1","apd_web_paradox"
48,48,"KAMI","apd_web_paradox"
49,49,"KATENGA","apd_web_paradox"
50,50,"KIIZI2","apd_web_paradox"
51,51,"KIMILIA","apd_web_paradox"
52,52,"KIMILIB","apd_web_paradox"
