"entitynum","sitenum","sigle"
1,1,"098-10"
2,2,"098-11"
3,3,"098-17"
4,4,"098-18"
5,5,"098-24"
6,6,"098-25"
7,7,"098-26"
8,8,"098-27"
9,9,"098-2b"
10,10,"098-35"
11,11,"098-36"
12,12,"098-3b"
13,13,"098-40"
14,14,"098-41"
15,15,"098-42"
16,16,"098-47"
17,17,"098-50"
18,18,"098-51"
19,19,"098-53"
20,20,"098-54"
21,21,"098-55"
22,22,"098-6"
23,23,"098-8"
24,24,"098-9"
25,25,"099-12"
26,26,"099-12b"
27,27,"099-13"
28,28,"099-14b"
29,29,"099-15"
30,30,"099-19"
31,31,"1_RUW"
32,32,"100_ELG"
33,33,"100Gro"
34,34,"101_ELG"
35,35,"101Gro"
36,36,"102_ELG"
37,37,"102Gro"
38,38,"103_ELG"
39,39,"104_ELG"
40,40,"104GrLa"
41,41,"105_ELG"
42,42,"105GrLa"
43,43,"106_ELG"
44,44,"106GrLa"
45,45,"107GrLa"
46,46,"108GrLa"
47,47,"109GrLa"
48,48,"11_KIG"
49,49,"11_RUW"
50,50,"110GrLa"
51,51,"111GrLa"
52,52,"113_ELG"
53,53,"122_ELG"
54,54,"125_ELG"
55,55,"13_RUW"
56,56,"131_ELG"
57,57,"132_ELG"
58,58,"139_KIG"
59,59,"140_KIG"
60,60,"141_KIG"
61,61,"16_KIG"
62,62,"19_RUW"
63,63,"2_KIG"
64,64,"20_RUW"
65,65,"200_ELG"
66,66,"200_KIG"
67,67,"201_ELG"
68,68,"202_KIG"
69,69,"203_ELG"
70,70,"203_KIG"
71,71,"204_ELG"
72,72,"206_ELG"
73,73,"207_ELG_"
74,74,"208_ELG"
75,75,"21_KIG"
76,76,"24_RUW"
77,77,"25_RUW"
78,78,"26_KIG"
79,79,"3_RUW"
80,80,"31_KIG"
81,81,"35_RUW"
82,82,"36_KIG"
83,83,"37_RUW"
84,84,"40_ELG"
85,85,"408-1F"
86,86,"408-2F"
87,87,"408-3F"
88,88,"408-4F"
89,89,"408-5F"
90,90,"408-6F"
91,91,"408-7F"
92,92,"41_KIG"
93,93,"49_ELG"
94,94,"49Add"
95,95,"50_ELG"
96,96,"503_8"
97,97,"508_6"
98,98,"50Add"
99,99,"51_KIG"
100,100,"51_RUW"
101,101,"51Add"
102,102,"52Add"
103,103,"53_RUW"
104,104,"53Add"
105,105,"54Add"
106,106,"55_RUW"
107,107,"57_RUW"
108,108,"6_KIG"
109,109,"6_RUW"
110,110,"60_RUW"
111,111,"62_RUW"
112,112,"65_RUW"
113,113,"67_RUW"
114,114,"70_ELG"
115,115,"70_RUW"
116,116,"71_ELG"
117,117,"72_RUW"
118,118,"73_ELG"
119,119,"73_RUW"
120,120,"73_SS-15"
121,121,"73CR_100-1"
122,122,"73CR_100-10"
123,123,"73CR_100-11"
124,124,"73CR_100-12"
125,125,"73CR_100-13"
126,126,"73CR_100-2"
127,127,"73CR_100-3"
128,128,"73CR_100-4"
129,129,"73CR_100-5"
130,130,"73CR_100-7"
131,131,"73CR_100-8"
132,132,"74_ELG"
133,133,"74-V1"
134,134,"75_RUW"
135,135,"76_RUW"
136,136,"78_ELG"
137,137,"79_RUW"
138,138,"79TA-0"
139,139,"79TC-0"
140,140,"79TE-0"
141,141,"79TF-0"
142,142,"79TH-0"
143,143,"79TI-0"
144,144,"83_52VR"
145,145,"83_81VR"
146,146,"88_ELG"
147,147,"89bGre"
148,148,"89Gre"
149,149,"9_RUW"
150,150,"90_ELG"
151,151,"90Gre"
152,152,"91_ELG"
153,153,"91Gre"
154,154,"92_ELG"
155,155,"92Gre"
156,156,"93Gre"
157,157,"94Gre"
158,158,"95Gre"
159,159,"96Gro"
160,160,"97Gro"
161,161,"98Gro"
162,162,"99Gro"
163,163,"A_14"
164,164,"A_18"
165,165,"A_22"
166,166,"A_6"
167,167,"A-Bur87"
168,168,"Adjavie"
169,169,"Adjrahounve"
170,170,"Agatogbo"
171,171,"Ahozon_1"
172,172,"Ahozon_2"
173,173,"Ahozon_3"
174,174,"AML81-LS"
175,175,"AML81-LZ"
176,176,"AML81-VR"
177,177,"AML81S33"
178,178,"AML81S36"
179,179,"AO1"
180,180,"AO10"
181,181,"AO11"
182,182,"AO12"
183,183,"AO13"
184,184,"AO14"
185,185,"AO15"
186,186,"AO16"
187,187,"AO17"
188,188,"AO18"
189,189,"AO19"
190,190,"AO2"
191,191,"AO20"
192,192,"AO21"
193,193,"AO22"
194,194,"AO23"
195,195,"AO24"
196,196,"AO3"
197,197,"AO4"
198,198,"AO5"
199,199,"AO6"
200,200,"AO7"
201,201,"AO8"
202,202,"AO9"
203,203,"APKN_I"
204,204,"APKN_IV"
205,205,"APKN_XII"
206,206,"APKN_XIII"
207,207,"AV-S1"
208,208,"AV-S11"
209,209,"AV-S2"
210,210,"AV89-S1"
211,211,"AV89-S10"
212,212,"AV89-S11"
213,213,"AV89-S12"
214,214,"AV89-S13"
215,215,"AV89-S14"
216,216,"AV89-S15"
217,217,"AV89-S16"
218,218,"AV89-S17"
219,219,"AV89-S18"
220,220,"AV89-S19"
221,221,"AV89-S2"
222,222,"AV89-S20"
223,223,"AV89-S21"
224,224,"AV89-S22"
225,225,"AV89-S23"
226,226,"AV89-S24"
227,227,"AV89-S26"
228,228,"AV89-S27"
229,229,"AV89-S3"
230,230,"AV89-S4"
231,231,"AV89-S5"
232,232,"AV89-S6"
233,233,"AV89-S7"
234,234,"AV89-S8"
235,235,"AV89-S9"
236,236,"AVC10VL"
237,237,"AVC11VL"
238,238,"AVC2VL"
239,239,"AVC3VL"
240,240,"AVC4VL"
241,241,"AVC5VL"
242,242,"AVC7VL"
243,243,"AVC8VL"
244,244,"AVC9VL"
245,245,"AVKab_S1"
246,246,"Awash_350"
247,247,"Awash_352"
248,248,"Awash_547_bis"
249,249,"Awash_574"
250,250,"Awash_575"
251,251,"Awash_582"
252,252,"Awash_A_Stat"
253,253,"Awash_A_Sued"
254,254,"Awash_C_L"
255,255,"Awash_G_604"
256,256,"Awash_G_80"
257,257,"Awash_Gba"
258,258,"Awash_Gomb"
259,259,"Awash_H_742"
260,260,"Awash_H_C74"
261,261,"Awash_H_C80"
262,262,"Awash_H_S4"
263,263,"Awash_H_V1"
264,264,"Awash_Hgf"
265,265,"Awash_K_80"
266,266,"Awash_L_A549"
267,267,"Awash_M_S"
268,268,"Awash_MK_G1"
269,269,"Awash_MK_G2"
270,270,"Awash_T_H"
271,271,"Awash_Tj"
272,272,"B-Bur87"
273,273,"BOG34VL"
274,274,"BOG36VL"
275,275,"BOG37VL"
276,276,"BOG38VL"
277,277,"BOG43VL"
278,278,"BOG44VL"
279,279,"BOG46VL"
280,280,"BOG55VL"
281,281,"BOG56VL"
282,282,"BOG57VL"
283,283,"BOG58VL"
284,284,"BOG59VL"
285,285,"BOG61VL"
286,286,"BOG64VL"
287,287,"BOG65VL"
288,288,"BOG69VL"
289,289,"C-Bur87"
290,290,"CAM-01"
291,291,"CAM-02"
292,292,"CAM-03"
293,293,"CAM-04"
294,294,"CAM-05"
295,295,"CAM-06"
296,296,"CAM-07"
297,297,"CAM-08"
298,298,"CAM-09"
299,299,"CAM-10"
300,300,"CAM-11"
301,301,"CAM-12"
302,302,"CAM-13"
303,303,"CAM-14"
304,304,"CAM-15"
305,305,"CAM-16"
306,306,"CAM-17"
307,307,"CAM-18"
308,308,"CAM-19"
309,309,"CAM-20"
310,310,"CAM-21"
311,311,"CAM-22"
312,312,"CAM-23"
313,313,"CAM-24"
314,314,"CAM-25"
315,315,"CAM-26"
316,316,"CAM-27"
317,317,"CAM-28"
318,318,"CAM-29"
319,319,"CAM-30"
320,320,"CAM-31"
321,321,"CAM-32"
322,322,"CAM-33"
323,323,"CAM-34"
324,324,"CAM-35"
325,325,"CAM-36"
326,326,"CAM-37"
327,327,"CAM-38"
328,328,"CAM-39"
329,329,"CAM-40"
330,330,"CAM-41"
331,331,"CAM-42"
332,332,"CAM-43"
333,333,"CAM-44"
334,334,"CAM-45"
335,335,"CAM-46"
336,336,"CAM-47"
337,337,"CAM-48"
338,338,"CAM-49"
339,339,"CAM-50"
340,340,"CAM-51"
341,341,"CAM-52"
342,342,"CAM-53"
343,343,"CAM-54"
344,344,"CAM-55"
345,345,"CAM-56"
346,346,"CAM-57"
347,347,"CAM-58"
348,348,"CAM07002S"
349,349,"CAM07003S"
350,350,"CAM07004"
351,351,"CAM07007S"
352,352,"CAM07008S"
353,353,"CAM07009S"
354,354,"CAM070108"
355,355,"CAM07010S"
356,356,"CAM07038S"
357,357,"CAM07039S"
358,358,"CAM07040S"
359,359,"CAM07068S"
360,360,"CAM07069S"
361,361,"CAM07070S"
362,362,"CAM07071S"
363,363,"CAM07087S"
