"entitynum","samplenum","chronnum","agebp","ageup","agelo","DepTime"
10057.00,62.00,100.00,4656.00,,,
10057.00,63.00,100.00,4779.00,,,
10057.00,64.00,100.00,4903.00,,,
10057.00,65.00,100.00,5027.00,,,
10057.00,66.00,100.00,5151.00,,,
10057.00,67.00,100.00,5350.00,,,
10057.00,68.00,100.00,5475.00,,,
10057.00,69.00,100.00,5650.00,,,
10057.00,70.00,100.00,5775.00,,,
10057.00,71.00,100.00,5900.00,,,
10057.00,72.00,100.00,6025.00,,,
10057.00,73.00,100.00,6149.00,,,
10057.00,74.00,100.00,6274.00,,,
10057.00,75.00,100.00,6398.00,,,
10057.00,76.00,100.00,6523.00,,,
10057.00,77.00,100.00,6671.00,,,
10057.00,78.00,100.00,6795.00,,,
10057.00,79.00,100.00,6918.00,,,
10057.00,80.00,100.00,7162.00,,,
10057.00,81.00,100.00,7404.00,,,
10057.00,82.00,100.00,7644.00,,,
10057.00,83.00,100.00,7927.00,,,
10057.00,84.00,100.00,8158.00,,,
10057.00,85.00,100.00,8409.00,,,
10057.00,86.00,100.00,8631.00,,,
10057.00,87.00,100.00,8849.00,,,
10057.00,88.00,100.00,9061.00,,,
10057.00,89.00,100.00,9268.00,,,
10057.00,90.00,100.00,9468.00,,,
10057.00,91.00,100.00,9661.00,,,
10057.00,92.00,100.00,9755.00,,,
10057.00,93.00,100.00,9938.00,,,
10057.00,94.00,100.00,10026.00,,,
10057.00,95.00,100.00,10197.00,,,
10057.00,96.00,100.00,10376.00,,,
10057.00,97.00,100.00,10529.00,,,
10057.00,98.00,100.00,10672.00,,,
10057.00,99.00,100.00,10806.00,,,
10057.00,100.00,100.00,10930.00,,,
10057.00,101.00,100.00,11043.00,,,
10057.00,102.00,100.00,11146.00,,,
10057.00,103.00,100.00,11211.00,,,
10057.00,104.00,100.00,11278.00,,,
10057.00,105.00,100.00,11316.00,,,
10057.00,106.00,100.00,11384.00,,,
10057.00,107.00,100.00,11443.00,,,
10057.00,108.00,100.00,11483.00,,,
10057.00,109.00,100.00,11498.00,,,
1.00,1.00,1.00,1467.00,,,
1.00,2.00,1.00,1605.00,,,
1.00,3.00,1.00,1801.00,,,
1.00,4.00,1.00,1997.00,,,
1.00,5.00,1.00,2193.00,,,
1.00,6.00,1.00,2761.00,,,
1.00,7.00,1.00,2957.00,,,
1.00,8.00,1.00,3153.00,,,
1.00,9.00,1.00,3330.00,,,
1.00,10.00,1.00,3526.00,,,
1.00,11.00,1.00,3722.00,,,
1.00,12.00,1.00,3918.00,,,
1.00,13.00,1.00,4055.00,,,
1.00,14.00,1.00,4251.00,,,
1.00,15.00,1.00,4447.00,,,
1.00,16.00,1.00,4643.00,,,
1.00,17.00,1.00,4839.00,,,
1.00,18.00,1.00,5035.00,,,
1.00,19.00,1.00,5231.00,,,
1.00,20.00,1.00,5428.00,,,
1.00,21.00,1.00,5624.00,,,
1.00,22.00,1.00,5820.00,,,
1.00,23.00,1.00,6016.00,,,
1.00,24.00,1.00,6107.00,,,
1.00,25.00,1.00,6154.00,,,
1.00,26.00,1.00,6200.00,,,
1.00,27.00,1.00,6247.00,,,
1.00,28.00,1.00,6294.00,,,
1.00,29.00,1.00,6387.00,,,
1.00,30.00,1.00,6433.00,,,
1.00,31.00,1.00,6480.00,,,
1.00,32.00,1.00,6517.00,,,
1.00,33.00,1.00,6564.00,,,
1.00,34.00,1.00,6610.00,,,
1.00,35.00,1.00,6773.00,,,
1.00,36.00,1.00,6820.00,,,
1.00,37.00,1.00,6867.00,,,
1.00,38.00,1.00,6913.00,,,
1.00,39.00,1.00,6960.00,,,
1.00,40.00,1.00,7006.00,,,
1.00,41.00,1.00,7053.00,,,
1.00,42.00,1.00,7100.00,,,
1.00,1.00,2.00,1326.00,,,
1.00,2.00,2.00,1493.00,,,
1.00,3.00,2.00,1730.00,,,
1.00,4.00,2.00,1967.00,,,
1.00,5.00,2.00,2205.00,,,
1.00,6.00,2.00,2893.00,,,
1.00,7.00,2.00,3130.00,,,
1.00,8.00,2.00,3368.00,,,
1.00,9.00,2.00,3581.00,,,
1.00,10.00,2.00,3819.00,,,
1.00,11.00,2.00,4056.00,,,
1.00,12.00,2.00,4293.00,,,
1.00,13.00,2.00,4460.00,,,
1.00,14.00,2.00,4697.00,,,
1.00,15.00,2.00,4934.00,,,
1.00,16.00,2.00,5172.00,,,
1.00,17.00,2.00,5409.00,,,
1.00,18.00,2.00,5646.00,,,
1.00,19.00,2.00,5884.00,,,
1.00,20.00,2.00,6121.00,,,
1.00,21.00,2.00,6359.00,,,
1.00,22.00,2.00,6596.00,,,
1.00,23.00,2.00,6833.00,,,
1.00,24.00,2.00,6937.00,,,
1.00,25.00,2.00,6983.00,,,
1.00,26.00,2.00,7030.00,,,
1.00,27.00,2.00,7076.00,,,
1.00,28.00,2.00,7123.00,,,
1.00,29.00,2.00,7215.00,,,
1.00,30.00,2.00,7262.00,,,
1.00,31.00,2.00,7308.00,,,
1.00,32.00,2.00,7345.00,,,
1.00,33.00,2.00,7392.00,,,
1.00,34.00,2.00,7438.00,,,
1.00,35.00,2.00,7601.00,,,
1.00,36.00,2.00,7647.00,,,
1.00,37.00,2.00,7693.00,,,
1.00,38.00,2.00,7740.00,,,
1.00,39.00,2.00,7786.00,,,
1.00,40.00,2.00,7833.00,,,
1.00,41.00,2.00,7879.00,,,
1.00,42.00,2.00,7926.00,,,
1.00,1.00,3.00,1358.00,,,
1.00,2.00,3.00,1525.00,,,
1.00,3.00,3.00,1764.00,,,
1.00,4.00,3.00,2003.00,,,
1.00,5.00,3.00,2242.00,,,
1.00,6.00,3.00,2935.00,,,
1.00,7.00,3.00,3174.00,,,
1.00,8.00,3.00,3413.00,,,
1.00,9.00,3.00,3628.00,,,
1.00,10.00,3.00,3867.00,,,
1.00,11.00,3.00,4106.00,,,
1.00,12.00,3.00,4345.00,,,
1.00,13.00,3.00,4512.00,,,
1.00,14.00,3.00,4751.00,,,
1.00,15.00,3.00,4990.00,,,
1.00,16.00,3.00,5229.00,,,
1.00,17.00,3.00,5468.00,,,
1.00,18.00,3.00,5707.00,,,
1.00,19.00,3.00,5946.00,,,
1.00,20.00,3.00,6185.00,,,
1.00,21.00,3.00,6424.00,,,
1.00,22.00,3.00,6663.00,,,
1.00,23.00,3.00,6902.00,,,
1.00,24.00,3.00,7004.00,,,
1.00,25.00,3.00,7048.00,,,
1.00,26.00,3.00,7092.00,,,
1.00,27.00,3.00,7137.00,,,
1.00,28.00,3.00,7181.00,,,
1.00,29.00,3.00,7269.00,,,
1.00,30.00,3.00,7313.00,,,
1.00,31.00,3.00,7357.00,,,
1.00,32.00,3.00,7392.00,,,
1.00,33.00,3.00,7436.00,,,
1.00,34.00,3.00,7480.00,,,
1.00,35.00,3.00,7635.00,,,
1.00,36.00,3.00,7679.00,,,
1.00,37.00,3.00,7723.00,,,
1.00,38.00,3.00,7767.00,,,
1.00,39.00,3.00,7811.00,,,
1.00,40.00,3.00,7855.00,,,
1.00,41.00,3.00,7899.00,,,
1.00,42.00,3.00,7943.00,,,
1.00,1.00,100.00,1358.00,,,
1.00,2.00,100.00,1525.00,,,
1.00,3.00,100.00,1764.00,,,
1.00,4.00,100.00,2003.00,,,
1.00,5.00,100.00,2242.00,,,
1.00,6.00,100.00,2935.00,,,
1.00,7.00,100.00,3174.00,,,
1.00,8.00,100.00,3413.00,,,
1.00,9.00,100.00,3628.00,,,
1.00,10.00,100.00,3867.00,,,
1.00,11.00,100.00,4106.00,,,
1.00,12.00,100.00,4345.00,,,
1.00,13.00,100.00,4512.00,,,
1.00,14.00,100.00,4751.00,,,
1.00,15.00,100.00,4990.00,,,
1.00,16.00,100.00,5229.00,,,
1.00,17.00,100.00,5468.00,,,
1.00,18.00,100.00,5707.00,,,
1.00,19.00,100.00,5946.00,,,
1.00,20.00,100.00,6185.00,,,
1.00,21.00,100.00,6424.00,,,
1.00,22.00,100.00,6663.00,,,
1.00,23.00,100.00,6902.00,,,
1.00,24.00,100.00,7004.00,,,
