"entitynum","samplenum","varname","varnum","count"
1.00,1.00,"Acacia",37.00,3.00
1.00,1.00,"Aerva-type lanata",1096.00,146.00
1.00,1.00,"Amaranthus-type",789.00,123.00
1.00,1.00,"Apiaceae undiff.",1171.00,2.00
1.00,1.00,"Artemisia",252.00,5.00
1.00,1.00,"Arthrocnemum macrostachyum-type",,22.00
1.00,1.00,"Atriplex-type",,333.00
1.00,1.00,"Cassia-type",45.00,1.00
1.00,1.00,"Celosia-type",643.00,5.00
1.00,1.00,"Chenopodium-type",409.00,129.00
1.00,1.00,"Cichorieae undiff.",1180.00,6.00
1.00,1.00,"Convolvulus-type",661.00,18.00
1.00,1.00,"Conyza",,158.00
1.00,1.00,"Cuscuta-type",3393.00,2.00
1.00,1.00,"Cyperaceae undiff.",1190.00,180.00
1.00,1.00,"Dodonaea viscosa-type",1222.00,5.00
1.00,1.00,"Ephedra distachya-type",2277.00,3.00
1.00,1.00,"Ephedra fragilis-type",2065.00,4.00
1.00,1.00,"Euphorbia-type",529.00,19.00
1.00,1.00,"Heliotropium ramosissimum-type",2662.00,2.00
1.00,1.00,"Indeterminable",1198.00,38.00
1.00,1.00,"Myrica",136.00,2.00
1.00,1.00,"Nyctaginaceae undiff.",3970.00,1.00
1.00,1.00,"Pinus",437.00,3.00
1.00,1.00,"Plantago ciliata-type",,5.00
1.00,1.00,"Poaceae undiff.",1207.00,190.00
1.00,1.00,"Polycarpon-type",2060.00,1.00
1.00,1.00,"Prosopis-type africana",3947.00,141.00
1.00,1.00,"Tamarix",260.00,10.00
1.00,1.00,"Tribulus",440.00,9.00
1.00,1.00,"Typha",112.00,1.00
1.00,1.00,"Vernonia perrottetii-type",1287.00,3.00
1.00,1.00,"Zygophyllum simplex-type",2425.00,36.00
2.00,1.00,"Aerva-type lanata",1096.00,58.00
2.00,1.00,"Amaranthus-type",789.00,10.00
2.00,1.00,"Atriplex-type",,14.00
2.00,1.00,"Avicennia marina-type",,1.00
2.00,1.00,"Calligonum polygonoides",2864.00,1.00
2.00,1.00,"Chenopodium-type",409.00,2.00
2.00,1.00,"Cichorieae undiff.",1180.00,1.00
2.00,1.00,"Conyza",,63.00
2.00,1.00,"Cuscuta-type",3393.00,1.00
2.00,1.00,"Cyperaceae undiff.",1190.00,52.00
2.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
2.00,1.00,"Euphorbia-type",529.00,2.00
2.00,1.00,"Fagonia",422.00,1.00
2.00,1.00,"Hibiscus",1045.00,1.00
2.00,1.00,"Indeterminable",1198.00,67.00
2.00,1.00,"Pinus",437.00,1.00
2.00,1.00,"Poaceae undiff.",1207.00,89.00
2.00,1.00,"Polycarpaea-type",2059.00,6.00
2.00,1.00,"Polygala-type",110.00,1.00
2.00,1.00,"Prosopis-type africana",3947.00,18.00
2.00,1.00,"Tribulus",440.00,3.00
2.00,1.00,"Urticaceae undiff.",1232.00,3.00
2.00,1.00,"Zygophyllum simplex-type",2425.00,38.00
3.00,1.00,"Aerva-type lanata",1096.00,102.00
3.00,1.00,"Amaranthus-type",789.00,9.00
3.00,1.00,"Apiaceae undiff.",1171.00,1.00
3.00,1.00,"Artemisia",252.00,2.00
3.00,1.00,"Arthrocnemum macrostachyum-type",,2.00
3.00,1.00,"Atriplex-type",,12.00
3.00,1.00,"Avicennia marina-type",,1.00
3.00,1.00,"Blepharis-type",2225.00,3.00
3.00,1.00,"Cassia-type",45.00,1.00
3.00,1.00,"Chenopodium-type",409.00,1.00
3.00,1.00,"Cichorieae undiff.",1180.00,2.00
3.00,1.00,"Convolvulus-type",661.00,1.00
3.00,1.00,"Conyza",,141.00
3.00,1.00,"Cyperaceae undiff.",1190.00,46.00
3.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
3.00,1.00,"Ephedra fragilis-type",2065.00,1.00
3.00,1.00,"Euphorbia-type",529.00,12.00
3.00,1.00,"Indeterminable",1198.00,36.00
3.00,1.00,"Pinus",437.00,1.00
3.00,1.00,"Plantago ciliata-type",,1.00
3.00,1.00,"Poaceae undiff.",1207.00,50.00
3.00,1.00,"Prosopis-type africana",3947.00,15.00
3.00,1.00,"Pteris-type",398.00,1.00
3.00,1.00,"Rumex",146.00,2.00
3.00,1.00,"Tamarix",260.00,1.00
3.00,1.00,"Thymelaeaceae undiff.",1228.00,1.00
3.00,1.00,"Tribulus",440.00,1.00
3.00,1.00,"Urticaceae undiff.",1232.00,4.00
3.00,1.00,"Vernonia perrottetii-type",1287.00,1.00
3.00,1.00,"Zygophyllum simplex-type",2425.00,46.00
4.00,1.00,"Aaronsohnia-type pubescens",,13.00
4.00,1.00,"Acacia",37.00,2.00
4.00,1.00,"Aerva-type lanata",1096.00,11.00
4.00,1.00,"Amaranthus-type",789.00,2.00
4.00,1.00,"Andrachne aspera-type",,1.00
4.00,1.00,"Artemisia",252.00,3.00
4.00,1.00,"Atriplex-type",,2.00
4.00,1.00,"Avicennia marina-type",,1.00
4.00,1.00,"Chenopodium-type",409.00,3.00
4.00,1.00,"Convolvulus-type",661.00,4.00
4.00,1.00,"Conyza",,23.00
4.00,1.00,"Cyperaceae undiff.",1190.00,13.00
4.00,1.00,"Dipterygium-type glaucum",3724.00,1.00
4.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
4.00,1.00,"Eclipta-type prostrata",,1.00
4.00,1.00,"Euphorbia-type",529.00,8.00
4.00,1.00,"Fabaceae undiff.",88.00,1.00
4.00,1.00,"Indeterminable",1198.00,18.00
4.00,1.00,"Kohautia",295.00,1.00
4.00,1.00,"Lotus arabicus-type",362.00,2.00
4.00,1.00,"Moringa",,1.00
