"varname_orig","varname","varnum","form"
"NA","Ask the author",-999,"NA"
"NA","Wait taxonomy group",-998,"NA"
"Abies","Abies",1,"A"
"NA","Abies undiff.",2,"Trees and Shrubs"
"Rhizophora racemosa-type","Rhizophora racemosa-type",3,"A"
"Acrostichum aureum","Acrostichum aureum",4,"F"
"Syzygium-type","Syzygium-type",5,"A"
"Tabernaemontana","Tabernaemontana",6,"C"
"NA","Hollarrhena-type",7,"NA"
"Strophanthus-type","Strophanthus-type",8,"C"
"Landolphia-type","Landolphia-type",9,"C"
"Uapaca","Uapaca",10,"A"
"Alchornea cordifolia-type","Alchornea cordifolia-type",11,"A"
"Mallotus-type","Mallotus-type",12,"A"
"Tetrorchidium","Tetrorchidium",13,"A"
"Spondianthus-type preussii","Spondianthus-type preussii",14,"A"
"Phyllanthus-type","Phyllanthus-type",15,"I"
"Celtis","Celtis",16,"A"
"Chaetacme aristata","Chaetacme aristata",17,"A"
"NA","Anthocleista vogelii",18,"NA"
"NA","Sapotaceae/Meliaceae",19,"NA"
"Carapa-type procera","Carapa-type procera",20,"A"
"NA","Combretaceae/Melastomataceae",21,"Trees and Shrubs"
"NA","Arecaceae undiff.",22,"Trees and Shrubs"
"Elaeis guineensis","Elaeis guineensis",23,"D"
"Borassus-type aethiopum","Borassus-type aethiopum",24,"D"
"NA","Raphia sp.",25,"NA"
"Phoenix","Phoenix",26,"D"
"NA","Ancistrophyllum secundiflorum",27,"NA"
"Symphonia globulifera","Symphonia globulifera",28,"A"
"NA","Pentadesma butyracea",29,"NA"
"Ceiba pentandra","Ceiba pentandra",30,"A"
"NA","Deinbollia",31,"NA"
"Cissus","Cissus",32,"I"
"NA","Pentachletra macrophylla",33,"NA"
"NA","Entada abyssinica",34,"NA"
"Piptadeniastrum-type africanum","Piptadeniastrum-type africanum",35,"A"
"NA","Dichrostachys glomerata",36,"NA"
"Acacia","Acacia",37,"C"
"NA","Mimosa pigra",38,"NA"
"Triplochiton scleroxylon-type","Triplochiton scleroxylon-type",39,"A"
"Sterculia-type","Sterculia-type",40,"A"
"Hildegardia barteri","Hildegardia barteri",41,"A"
"NA","Mansonia-type",42,"NA"
"Cola-type","Cola-type",43,"A"
"Berlinia-type","Berlinia-type",44,"A"
"Cassia-type","Cassia-type",45,"I"
"Caesalpiniaceae undiff.","Caesalpiniaceae undiff.",46,"I"
"NA","Nauclea latifolia",47,"NA"
"NA","Canthium-type subcordata",48,"NA"
"NA","Scherbournia bignoniifolia",49,"NA"
"NA","Ixora spp.",50,"NA"
"NA","Chassalia kolly",51,"NA"
"Morelia senegalensis","Morelia senegalensis",52,"A"
"Cuviera","Cuviera",53,"A"
"Sabicea","Sabicea",54,"C"
"NA","Pavetta sp.",55,"NA"
"NA","Psychotria-type",56,"NA"
"Gardenia-type imperialis","Gardenia-type imperialis",57,"A"
"NA","Rubiaceae undiff",58,"NA"
"Spathodea-type campanulata","Spathodea-type campanulata",59,"A"
"Grewia-type","Grewia-type",60,"C"
"NA","Drepanocarpus lunatus-type",61,"NA"
"NA","Lonchocarpus-type",62,"NA"
"NA","Dalbergia-type",63,"NA"
"NA","Aechynomene-type",64,"NA"
"NA","Sesbania-type",65,"NA"
"Lannea-type","Lannea-type",66,"A"
"NA","Spondias-type mombin",67,"NA"
"Diospyros","Diospyros",68,"A"
"Cleistopholis-type patens","Cleistopholis-type patens",69,"A"
"Monodora tenuifolia","Monodora tenuifolia",70,"A"
"NA","Annona sp.",71,"NA"
"NA","Bosqueia-type",72,"NA"
"Milicia-type excelsa","Milicia-type excelsa",73,"A"
"Adenia lobata-type","Adenia lobata-type",74,"L"
"Clerodendrum","Clerodendrum",75,"C"
"Irvingia-type gabonensis","Irvingia-type gabonensis",76,"A"
"Avicennia","Avicennia",77,"A"
"NA","Cnestis ferruginea-type",78,"NA"
"Allophylus africanus-type","Allophylus africanus-type",79,"A"
"NA","Blighia sapida",80,"NA"
"Paullinia pinnata","Paullinia pinnata",81,"L"
"NA","Jasminum-type",82,"NA"
"Flabellaria-type paniculata","Flabellaria-type paniculata",83,"L"
"NA","Musanga type",84,"NA"
"Pycnanthus angolensis-type","Pycnanthus angolensis-type",85,"A"
"Parinari-type","Parinari-type",86,"A"
"Lophira","Lophira",87,"A"
"Fabaceae undiff.","Fabaceae undiff.",88,"I"
"NA","Secamone afzelii",89,"NA"
"NA","Poaceae",90,"Upland Herbs"
"NA","Cyperaceae",91,"Upland Herbs"
"NA","Asteraceae ‚chinul‚e undiff.",92,"NA"
"NA","Amaranthaceae/Chenopodiaceae",93,"NA"
"NA","Nymphea",94,"NA"
"NA","Cyrtosperma-type",95,"NA"
"Polygonum pulchrum-type","Polygonum pulchrum-type",96,"Q"
"NA","Dracaena-type",97,"NA"
"NA","Cleome",98,"Upland Herbs"
"Ludwigia-type","Ludwigia-type",99,"Q"
"Croton-type","Croton-type",100,"I"
"NA","Borreria",101,"Upland Herbs"
"Triumfetta-type","Triumfetta-type",102,"I"
"NA","Indigofera-type",103,"NA"
"NA","Crotalaria-type",104,"NA"
"NA","Desmodium-type",105,"NA"
"Tetracera alnifolia-type","Tetracera alnifolia-type",106,"L"
"Justicia-type","Justicia-type",107,"I"
"NA","Scoparia dulcis",108,"NA"
"NA","Leonotis sp.",109,"NA"
"Polygala-type","Polygala-type",110,"I"
"Ipomoea-type","Ipomoea-type",111,"I"
"Typha","Typha",112,"Q"
"NA","Dinoflagell‚s",113,"NA"
"NA","Spores monoletes",114,"NA"
"NA","Spores triletes",115,"NA"
"NA","Indetermines",116,"NA"
"NA","Indeterminables",117,"NA"
"Alchornea","Alchornea",118,"A"
"NA","Fagara",119,"NA"
"NA","Gramineae",120,"NA"
"NA","Pteridophytae",121,"NA"
"Polygonum","Polygonum",122,"I"
"NA","Acanthaceae",123,"Upland Herbs"
"NA","Monocotyledoneae",124,"NA"
"Dodonaea","Dodonaea",125,"A"
"Anthocleista","Anthocleista",126,"A"
"Ficus","Ficus",127,"A"
"Podocarpus","Podocarpus",128,"A"
"NA","Rubiaceae",129,"Upland Herbs"
"NA","Triletes",130,"NA"
"Ilex mitis","Ilex mitis",131,"A"
"Brachystegia","Brachystegia",132,"A"
"Acalypha","Acalypha",133,"I"
"NA","Hypericum",134,"I"
"Lobelia","Lobelia",135,"I"
"Myrica","Myrica",136,"A"
"Jasminum","Jasminum",137,"C"
"NA","Alchemilla",138,"I"
"NA","Hagenia abyssinica",139,"A"
"NA","Anthospermum",140,"I"
"Hydrocotyle","Hydrocotyle",141,"Q"
"Begonia","Begonia",142,"H"
"NA","Grewia",143,"NA"
"NA","Laurembergia",144,"Upland Herbs"
"Rapanea","Rapanea",145,"A"
"Rumex","Rumex",146,"I"
"NA","Portulacaceae",147,"Upland Herbs"
"Potamogeton","Potamogeton",148,"Q"
"NA","Umbelliferae",149,"NA"
"NA","Urticaceae",150,"Upland Herbs"
"NA","Capparidaceae",151,"NA"
"Commiphora","Commiphora",152,"A"
"NA","Ericaceae",153,"Trees and Shrubs"
"NA","Impatiens",154,"N"
"NA","Isoglossa",155,"I"
"NA","Labiatae",156,"NA"
"NA","Loranthaceae",157,"Trees and Shrubs"
"NA","Lythraceae",158,"Upland Herbs"
"NA","Rhamnaceae",159,"Trees and Shrubs"
"Clutia","Clutia",160,"I"
"NA","Cruciferae",161,"NA"
"NA","Embelia",162,"Trees and Shrubs"
"NA","Mimulopsis",163,"NA"
"NA","Achyranthes",164,"NA"
"NA","Cyathula",165,"NA"
"NA","Lannea",166,"NA"
"NA","Rhus",167,"Trees and Shrubs"
"Polyscias","Polyscias",168,"A"
"NA","Stephania",169,"Upland Herbs"
"Olea","Olea",170,"A"
"NA","Polygala",171,"Upland Herbs"
"NA","Clematis",172,"Upland Herbs"
"NA","Parinari",173,"NA"
"NA","Prunus",174,"A"
"NA","Teclea",175,"NA"
"NA","Ficalhoa",176,"NA"
"NA","Trema",177,"Trees and Shrubs"
"NA","Thalictrum",178,"N"
