"varname_orig","varname","varnum","form"
"NA","0",10000,"O"
"NA","5-Porate",2792,"NA"
"NA","Abelia",2569,"A"
"NA","Abies undiff.",2,"Trees and Shrubs"
"NA","Abim‚s",1083,"NA"
"NA","Abrus-type",2307,"NA"
"NA","Abutilon-type",480,"Upland Herbs"
"NA","Acacia 1",2451,"NA"
"NA","Acacia 3",2452,"NA"
"NA","Acacia I",1948,"NA"
"NA","Acacia III",2089,"NA"
"NA","Acacia albida",999,"NA"
"NA","Acacia ehrenbergiana",1000,"NA"
"NA","Acacia ehrenbergiana-type",3927,"A"
"NA","Acacia etbaica-type",3928,"A"
"NA","Acacia group I",1339,"NA"
"NA","Acacia group III",1340,"NA"
"NA","Acacia groupe 1",2764,"NA"
"NA","Acacia groupe 3",2765,"NA"
"NA","Acacia groupe I",428,"NA"
"NA","Acacia groupe II",853,"NA"
"NA","Acacia groupe III",429,"NA"
"NA","Acacia groupe i",268,"NA"
"NA","Acacia groupe iii",275,"NA"
"NA","Acacia gummifera-type",3929,"A"
"NA","Acacia mellifera (lisse)",2654,"NA"
"NA","Acacia mellifera-type",3930,"A"
"NA","Acacia nilotica",1001,"NA"
"NA","Acacia nilotica-type",3931,"A"
"NA","Acacia polyacantha",1002,"NA"
"NA","Acacia polyacantha-type",3932,"A"
"NA","Acacia raddiana",2087,"NA"
"NA","Acacia raddiata",993,"NA"
"NA","Acacia senegal-type",3441,"A"
"NA","Acacia seyal",1003,"NA"
"NA","Acacia seyal-type",3933,"A"
"NA","Acacia tortilis-type",3934,"A"
"NA","Acacia type1",2232,"NA"
"NA","Acacia vulgaris",1004,"NA"
"NA","Acacia-Albizzia",1376,"NA"
"NA","Acacia-type",1522,"NA"
"NA","Acacia-type mellifera",1585,"NA"
"NA","Acacia/Albizzia",202,"NA"
"NA","Acacia/Parkia",2271,"C"
"NA","Acalypha cf. crenata",565,"NA"
"NA","Acalypha ciliata",1005,"NA"
"NA","Acalypha ciliata-type",3796,"N"
"NA","Acalypha-type",1909,"NA"
"NA","Acanthaceae",123,"Upland Herbs"
"NA","Acanthaceae diporate",1628,"NA"
"NA","Acanthaceae prolate",1629,"NA"
"NA","Acanthaceae triangular",1630,"NA"
"NA","Acanthus",816,"Upland Herbs"
"NA","Acanthus pubescens",1523,"NA"
"NA","Acanthus sim.",1774,"NA"
"NA","Acanthus-type pubescens",3553,"A"
"NA","Acer",2487,"A"
"NA","Achyranthes",164,"NA"
"NA","Achyranthes aspera",307,"NA"
"NA","Achyranthes aspera-type",2429,"Upland Herbs"
"NA","Achyranthes-type",1970,"N"
"NA","Acioa",2310,"NA"
"NA","Acrostychum aureum",1094,"NA"
"NA","Actiniopteris radiata-type",3520,"F"
"NA","Actinopteris radiata",2080,"NA"
"NA","Adenandra",2727,"A"
"NA","Adenia type",1472,"NA"
"NA","Adenia-type",364,"NA"
"NA","Adenium-type obesum",1169,"NA"
"NA","Adenopodia scelerata-type",3935,"C"
"NA","Adenorandia-type kalbreyeri",4045,"C"
"NA","Adina",842,"NA"
"NA","Aechynomene-type",64,"NA"
"NA","Aerva",745,"Upland Herbs"
"NA","Aerva javanica",2810,"NA"
"NA","Aerva javanica-type",308,"NA"
"NA","Aerva lanata",2812,"NA"
"NA","Aerva lanata-type",278,"NA"
"NA","Aerva persica",1006,"NA"
"NA","Aeschynomene baumii-type",3837,"A"
"NA","Aeschynomene elaphroxylon-type",3838,"A"
"NA","Aeschynomene sim.",1775,"NA"
"NA","Aeschynomene-type",415,"NA"
"NA","Aeschynomene-type baumii",519,"NA"
"NA","Aeschynomene-type elaphroxylon",2090,"NA"
"NA","Aesculus",3223,"A"
"NA","Aethusa cynapium",3602,"N"
"NA","Afraegle",819,"NA"
"NA","Afraegle paniculata",419,"NA"
"NA","Afrocrania",1396,"NA"
"NA","Afrocrania volkensii",1282,"A"
"NA","Afrormosia",2311,"NA"
"NA","Afrosersalisia",1718,"NA"
"NA","Afzelia cf. africana",820,"NA"
"NA","Agavaceae",1473,"Trees and Shrubs"
"NA","Agavaceae undiff.",3563,"I"
"NA","Agisanthemum comp.",1776,"NA"
"NA","Agrocharis",2697,"N"
"NA","Aidia",689,"Upland Herbs"
"NA","Aiozoaceae large",1668,"NA"
"NA","Aiozoaceae small",1669,"NA"
"NA","Aizoaceae",653,"Upland Herbs"
"NA","Aizoaceae-type",1664,"NA"
"NA","Aizoaceae/Caryophyllaceae undiff.",3571,"I"
"NA","Aizoaceae/Ficoidaceae",306,"NA"
"NA","Aizoon canariense",2081,"NA"
"NA","Aizoon canariense-type",3564,"N"
"NA","Ajuga",1910,"N"
"NA","Alangium",203,"A"
"NA","Alangium chinense",1840,"A"
"NA","Albizia",880,"NA"
"NA","Albizzia",539,"NA"
"NA","Albizzia-type",774,"NA"
"NA","Alchemilla",138,"I"
"NA","Alchornea cordifolia",1007,"NA"
"NA","Alisma",2789,"Aquatic Vascular Plants"
"NA","Alisma comp.",1874,"NA"
"NA","Alisma plantago-aquatica",2091,"Q"
"NA","Alisma-type plantago-aquatica",1969,"NA"
"NA","Alismataceae",194,"Aquatic Vascular Plants"
"NA","Alismataceae undiff.",3572,"Q"
"NA","Allanblackia",2312,"A"
"NA","Allanblackia-type",2406,"NA"
"NA","Allium",3576,"N"
"NA","Allophyllus",1885,"NA"
"NA","Allophylus abyssinicus (Sapindaceae)",1474,"NA"
"NA","Allophylus abyssinicus-type",1097,"A"
"NA","Allophylus africanus",379,"NA"
"NA","Allophylus-Protea",1379,"NA"
"NA","Allophylus-type",1982,"NA"
"NA","Allophylus/Protea",4099,"C"
"NA","Allophylus/Protea sim.",1777,"NA"
"NA","Allophylus/protea/faurea",1524,"C"
"NA","Aloe",1237,"NA"
"NA","Aloe-type",1554,"I"
"NA","Alstonia",676,"NA"
"NA","Alstonia boonei",526,"NA"
"NA","Althernantera",2092,"NA"
"NA","Althernanthera",1008,"NA"
"NA","Amannia-type",431,"NA"
"NA","Amannia-type prieureana",1685,"NA"
"NA","Amaranthaceae",473,"Upland Herbs"
"NA","Amaranthaceae-type",2607,"Upland Herbs"
"NA","Amaranthaceae/Chenop",2430,"NA"
"NA","Amaranthaceae/Chenopodiaceae",93,"NA"
