"sitenum","sitename","poldiv1","latdd","londd","altitude"
1,"Yéviédié","BEN",6.53,2.37,53
2,"Ahakagyezi Swamp 1","UGA",-1.08,29.90,1830
3,"Diogo 01","SEN",15.26,-16.80,8
4,"Diogo 02","SEN",15.26,-16.80,8
5,"Lake Guiers 1","SEN",16.11,-15.91,0
6,"Lake Guiers 2","SEN",16.28,-15.83,1
7,"Chemchane Sebkha 1","MRT",20.93,-12.21,256
8,"Chemchane Sabkha 2","MRT",20.93,-12.21,256
9,"Ngamakala Pound 1","COG",-4.07,15.38,400
10,"Ngamakala Pound 2","COG",-4.07,15.38,400
11,"Kaigama","NGA",13.25,11.56,330
12,"Kajemarum Oasis","NGA",13.30,11.02,300
13,"Lake Kitina","COG",-4.27,12.00,120
14,"Kuluwu Oasis","NGA",13.21,11.55,330
15,"Bois de Bilanko 1","COG",-3.51,15.35,600
16,"Bois de Bilanko 2","COG",-3.51,15.35,600
17,"Bois de Bilanko 3","COG",-3.51,15.35,600
18,"Mare d'Oursi","BFA",14.65,-0.48,290
19,"Lake Ossa 2","CMR",3.80,10.75,8
20,"Oyo","SDN",19.26,26.18,510
21,"Lake Sinnda 2","COG",-3.83,12.80,128
22,"Lake Sinnda 3","COG",-3.83,12.80,128
23,"Lake Tilla","NGA",10.39,12.12,690
24,"Bal Lake","NGA",13.30,10.94,300
25,"Bir Atrun","SDN",18.16,26.65,600
26,"Dangbo","BEN",6.60,2.59,40
27,"Goho","BEN",6.44,2.57,35
28,"Selima Oasis","SDN",21.36,29.31,270
29,"Lake Nokou‚ (So-Ava)","BEN",6.49,2.38,47
30,"Tjéri","TCD",13.73,16.50,275
31,"Thiaye","SEN",14.91,-17.50,1
32,"Lake Abiyata II","ETH",7.61,38.61,1578
33,"Lake Abiyata I","ETH",7.70,38.60,1578
34,"Ahakagyezi Swamp 2","UGA",-1.11,29.90,1830
35,"Lake Albert II","UGA",1.48,30.70,619
36,"Lake Albert III","UGA",1.51,30.56,619
37,"Lake Albert I","UGA",1.83,31.16,619
38,"Mont Badda","ETH",7.87,39.37,4040
39,"Lake Bogoria 2","KEN",0.20,36.16,990
40,"Lake Bogoria 3","KEN",0.25,36.16,990
41,"Mare de Kissi","BFA",14.61,-0.13,280
42,"Lake Bujuku","UGA",0.36,29.90,3920
43,"Lake Bunyonyi","UGA",-1.30,29.91,1950
44,"Danka Valley Bog","ETH",7.86,38.78,3830
45,"Dega Sala Swamp","ETH",7.81,39.33,3600
46,"Lake Ikimba","TZA",-1.43,31.59,1150
47,"Lake Hayk","ETH",11.35,39.71,1920
48,"Kamiranzovu Swamp","RWA",-2.55,29.00,1950
49,"Katenga Swamp","UGA",-1.20,29.81,1980
50,"Kiizi Marsh","TZA",-1.41,31.77,1150
51,"Lake Kimili I","KEN",1.10,34.56,4150
52,"Lake Kimili II","KEN",1.10,34.56,4150
53,"Lake Kitandara 1","UGA",0.35,29.88,3990
54,"Lake Kitandara 2","UGA",0.35,29.88,3990
55,"Koitoboss Bog","KEN",1.13,34.60,3940
56,"Kuwasenkoko Swamp","RWA",-2.58,29.00,2340
57,"Laboot Swamp I","KEN",0.95,34.63,2280
58,"Laboot Swamp II","KEN",0.95,34.63,2280
59,"Lake Langeno","ETH",7.51,38.71,1583
60,"Matembe Marsh","TZA",-1.38,31.71,1150
61,"Mukibongo Valley","BDI",-3.15,30.58,1540
62,"Lake Tanganyika I","TZA",-8.46,30.86,773
63,"Lake Tanganyika II","ZMB",-8.50,30.85,773
64,"Ndurumu Swamp 1","BDI",-2.71,29.93,1363
65,"Ndurumu Swamp 2","BDI",-2.71,29.96,1363
66,"Nyamuswaga Valley","BDI",-2.90,29.98,1546
67,"Tamsaa Swamp","ETH",7.13,39.76,3000
68,"Lake Tilo","ETH",7.06,38.09,1545
69,"Lake Victoria I","UGA",0.58,33.27,1139
70,"Wenchi","ETH",8.75,37.90,2900
71,"Albitrunca Cliff 1","NAM",-23.65,16.26,1600
72,"Albitrunca Cliff 2","NAM",-23.65,16.26,1600
73,"Ampasambazimba","MDG",-18.91,46.66,1000
74,"Lake Andolonomby","MDG",-23.05,43.60,5
75,"Coraf 2","COG",-4.75,11.85,1
76,"Coraf 1","COG",-4.75,11.85,0
77,"Kuiseb River (Harubes) 1","NAM",-23.65,15.33,1610
78,"Kuiseb River (Harubes) 2","NAM",-23.65,15.33,1610
79,"Hayla Cave","SOM",11.00,48.00,1800
80,"Kashiru Swamp I","BDI",-3.47,29.57,2240
81,"Kashiru Swamp II","BDI",-3.45,29.53,2240
82,"Lake Kavitaha","MDG",-19.04,46.78,1210
83,"Kuruyange 1","BDI",-3.58,29.68,2000
84,"Kuruyange 2","BDI",-3.58,29.68,2000
85,"Lake Albert (ou Lake Mobutu Sese Seko)","UGA",1.83,31.16,619
86,"Lake Turkana","KEN",4.00,36.08,375
87,"Musisi-Karashoma","DRC",-2.27,28.66,2200
88,"Mahoma Lake","UGA",0.35,29.96,2960
89,"Lake Masoko","TZA",-9.33,33.75,770
90,"Matupi Cave","ZAR",1.50,30.00,1100
91,"Mubwindi Swamp I","UGA",-1.08,29.75,2100
92,"Mubwindi Swamp II","UGA",-1.08,29.75,2100
93,"Muchoya Swamp I","UGA",-1.28,29.80,2260
94,"Muchoya Swamp II","UGA",-1.28,29.80,2260
95,"Pilkington Bay","UGA",0.30,33.33,1139
96,"Rusaka swamp","BDI",-3.43,29.61,2070
97,"Lake Tanganyika V","BDI",-4.02,29.33,773
98,"Lake Tanganyika III","BDI",-4.51,29.33,773
99,"Lake Tanganyika IV","ZAR",-4.96,29.36,773
100,"Lake Mitsinjo","MDG",-16.03,45.85,9
101,"Eastern Niger Delta","NGA",4.55,6.43,0
102,"Lake Otjikoto","NAM",-19.16,17.91,1250
103,"Songolo","COG",-4.76,11.86,5
104,"Small Momela Lake","TZA",-3.21,36.91,1500
105,"Windhoek","NAM",-22.63,17.08,1700
106,"Rugezi I","RWA",-1.40,29.83,2050
107,"Lake Tritrivakely I","MDG",-19.78,46.91,1800
108,"Lake Tritrivakely II","MDG",-19.78,46.91,1778
109,"Lake Victoria II","UGA",-0.97,33.45,1139
110,"Lake Abijata","ETH",7.60,38.55,1578
111,"Lake Bogoria 1","KEN",0.18,36.16,990
112,"Khor 1","QAT",25.50,51.41,1
113,"Khor M","QAT",25.50,51.42,1
114,"Kiguhu II","RWA",-1.48,29.71,1800
115,"KW31","ATL",3.51,5.56,0
116,"Site 36","QAT",25.53,51.50,1
117,"Butare","RWA",-2.61,29.75,1700
118,"Emi Koussi","TCD",19.91,18.50,3000
119,"Gasare Swamp","UGA",-2.46,29.23,2300
120,"Lodoba","TCD",13.68,16.55,300
121,"Lake Rukwa","TZA",-8.41,32.72,793
122,"Fort Portal 1","UGA",0.66,30.27,1500
123,"Fort Portal 2","UGA",0.66,30.27,1500
124,"Hima - Kibale","UGA",0.88,30.37,1480
125,"Lubulungu Delta 2","TZA",-6.16,29.71,773
126,"Lubulungu Delta 1","TZA",-6.16,29.70,773
127,"Mwamgongo River","TZA",-4.62,29.63,773
128,"Nyamusenyi River","BDI",-3.61,29.34,773
129,"Scout Hut Mire","KEN",1.00,34.50,3380
130,"Stone Age Site","NAM",-23.66,15.36,1620
131,"Kabesi River Delta","TZA",-5.97,29.81,773
132,"Nyasanga/Kahama River","TZA",-4.68,29.61,773
133,"Karonge/Kirasa River","BDI",-3.58,29.32,773
134,"Badsfontein","ZAF",-30.76,25.81,1400
