"sitenum","sitename","latdd","londd","altitude","poldiv1"
1,"098-10",22.24,59.77,0,"OMN"
2,"098-11",22.50,59.71,0,"OMN"
3,"098-17",22.49,59.72,106,"OMN"
4,"098-18",22.49,59.72,106,"OMN"
5,"098-24",22.49,59.73,103,"OMN"
6,"098-25",22.49,59.73,100,"OMN"
7,"098-26",22.49,59.73,100,"OMN"
8,"098-27",22.49,59.73,100,"OMN"
9,"098-2b",22.27,58.92,349,"OMN"
10,"098-35",22.48,59.74,117,"OMN"
11,"098-36",22.48,59.74,117,"OMN"
12,"098-3b",23.27,58.92,488,"OMN"
13,"098-40",22.44,59.69,62,"OMN"
14,"098-41",22.56,59.54,0,"OMN"
15,"098-42",22.56,59.52,0,"OMN"
16,"098-47",22.68,59.34,380,"OMN"
17,"098-50",22.90,59.08,416,"OMN"
18,"098-51",22.91,59.09,32,"OMN"
19,"098-53",23.19,57.13,63,"OMN"
20,"098-54",23.19,57.13,113,"OMN"
21,"098-55",23.29,56.56,418,"OMN"
22,"098-6",23.27,58.92,488,"OMN"
23,"098-8",22.55,59.51,0,"OMN"
24,"098-9",22.04,59.66,0,"OMN"
25,"099-12",23.23,57.20,174,"OMN"
26,"099-12b",23.23,57.20,174,"OMN"
27,"099-13",23.23,57.19,156,"OMN"
28,"099-14b",23.31,58.11,244,"OMN"
29,"099-15",23.01,58.24,393,"OMN"
30,"099-19",22.49,58.94,283,"OMN"
31,"1_RUW",0.37,29.90,280,"UGA"
32,"100_ELG",1.10,34.60,306,"UGA"
33,"100Gro",4.96,-5.11,3,"CIV"
34,"101_ELG",1.10,34.60,306,"UGA"
35,"101Gro",4.92,-5.10,10,"CIV"
36,"102_ELG",1.10,34.60,306,"UGA"
37,"102Gro",4.91,-5.12,20,"CIV"
38,"103_ELG",1.10,34.60,306,"UGA"
39,"104_ELG",1.10,34.60,306,"UGA"
40,"104GrLa",4.88,-4.99,4,"CIV"
41,"105_ELG",1.10,34.60,306,"UGA"
42,"105GrLa",4.93,-4.98,18,"CIV"
43,"106_ELG",1.10,34.60,306,"UGA"
44,"106GrLa",4.94,-4.98,12,"CIV"
45,"107GrLa",4.96,-4.97,5,"CIV"
46,"108GrLa",4.99,-4.97,24,"CIV"
47,"109GrLa",5.01,-4.99,19,"CIV"
48,"11_KIG",-1.13,29.89,144,"UGA"
49,"11_RUW",0.38,29.86,321,"UGA"
50,"110GrLa",5.05,-4.99,16,"CIV"
51,"111GrLa",5.11,-5.01,7,"CIV"
52,"113_ELG",1.15,34.58,286,"UGA"
53,"122_ELG",1.14,34.63,287,"UGA"
54,"125_ELG",1.11,34.65,275,"UGA"
55,"13_RUW",0.38,29.86,321,"UGA"
56,"131_ELG",1.15,34.52,302,"UGA"
57,"132_ELG",1.23,34.47,264,"UGA"
58,"139_KIG",-1.12,29.75,171,"UGA"
59,"140_KIG",-1.12,29.75,171,"UGA"
60,"141_KIG",-1.12,29.75,171,"UGA"
61,"16_KIG",-1.15,29.90,144,"UGA"
62,"19_RUW",0.38,29.86,323,"UGA"
63,"2_KIG",-1.13,29.89,144,"UGA"
64,"20_RUW",0.37,29.89,284,"UGA"
65,"200_ELG",1.17,34.71,225,"UGA"
66,"200_KIG",-1.20,29.81,156,"UGA"
67,"201_ELG",1.17,34.71,225,"UGA"
68,"202_KIG",-1.18,29.76,171,"UGA"
69,"203_ELG",1.12,34.67,262,"UGA"
70,"203_KIG",-1.22,29.75,180,"UGA"
71,"204_ELG",1.12,34.67,262,"UGA"
72,"206_ELG",1.10,34.60,306,"UGA"
73,"207_ELG_",1.10,34.60,306,"UGA"
74,"208_ELG",1.10,34.60,306,"UGA"
75,"21_KIG",-1.15,29.90,144,"UGA"
76,"24_RUW",0.37,29.89,284,"UGA"
77,"25_RUW",0.36,29.89,286,"UGA"
78,"26_KIG",-1.18,29.76,171,"UGA"
79,"3_RUW",0.37,29.90,280,"UGA"
80,"31_KIG",-1.18,29.76,171,"UGA"
81,"35_RUW",0.36,29.87,302,"UGA"
82,"36_KIG",-1.18,29.76,171,"UGA"
83,"37_RUW",0.36,29.87,302,"UGA"
84,"40_ELG",1.10,34.61,317,"UGA"
85,"408-1F",-12.24,13.66,31,"AGO"
86,"408-2F",-12.68,13.13,308,"AGO"
87,"408-3F",-12.99,13.01,31,"AGO"
88,"408-4F",20.95,-12.18,294,"MRT"
89,"408-5F",16.93,-15.16,11,"MRT"
90,"408-6F",20.85,5.25,609,"DZA"
91,"408-7F",21.50,6.00,564,"DZA"
92,"41_KIG",-1.24,29.80,186,"UGA"
93,"49_ELG",1.11,34.66,267,"UGA"
94,"49Add",5.13,-4.65,8,"CIV"
95,"50_ELG",1.12,34.68,253,"UGA"
96,"503_8",1.86,36.15,380,"KEN"
97,"508_6",1.80,36.25,395,"KEN"
98,"50Add",5.13,-4.64,15,"CIV"
99,"51_KIG",-1.24,28.80,186,"UGA"
100,"51_RUW",0.34,29.86,318,"UGA"
101,"51Add",5.10,-4.64,19,"CIV"
102,"52Add",5.06,-4.65,22,"CIV"
103,"53_RUW",0.34,29.86,318,"UGA"
104,"53Add",5.04,-4.65,9,"CIV"
105,"54Add",5.01,-4.65,13,"CIV"
106,"55_RUW",0.34,29.86,317,"UGA"
107,"57_RUW",0.34,29.86,317,"UGA"
108,"6_KIG",-1.13,29.89,144,"UGA"
109,"6_RUW",0.37,29.86,319,"UGA"
110,"60_RUW",0.34,29.86,317,"UGA"
111,"62_RUW",0.34,29.86,317,"UGA"
112,"65_RUW",0.34,29.86,317,"UGA"
