ID2_W05v1_6,LONDD,LATDD,AbieEast,AbieWest,AcerEast,AcerWest,AlnuEast,AlnuWest,CeltEast,CeltWest,ChAmFlor,ChAmMid,CupXEast,CupXWest,FraxEast,FraxWest,Larix,LarixPse,PicEast,PicWest,PinEast,PinNE,PinSE,PinWest,QuerEast,QuerWest,TsugEast,TsugWest
1,-69.992,60.979,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
2,-79.2,46.05,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
3,-57.033,52.517,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
4,-85.5,36.033,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
5,-73.311,45.543,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
6,-70.685,47.482,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
7,-70.05,44.47,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
8,-67.331,45.256,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
9,-77.917,42.25,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
10,-70.596,46.279,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
11,-76.12,54.047,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
12,-78.55,39.767,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,1,,1,,1,0
13,-88.474,33.563,,,1,,1,,1,,,1,1,,1,,,0,,,1,,1,,1,,1,0
14,-89.867,43.083,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
15,-95.167,47.183,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
16,-63.2,55.333,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
17,-70.675,45.567,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
18,-74.683,43.917,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
19,-85.017,30.267,,,1,,1,,1,,1,,1,,1,,,0,,,1,,1,,1,,1,0
20,-71.7735,41.6979,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
21,-63.25,55.667,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
22,-72.999,46.614,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
23,-74.658,41.3314,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
24,-76.146,54.799,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
25,-86.53,41.65,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
26,-107.933,50.874,,,,,1,,,,,1,,,1,,1,1,1,,,,,1,1,,,
27,-93.27,42.02,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
28,-67.883,46.283,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
29,-115.317,67.833,,,,,1,,,,,1,,,,,1,0,1,,1,1,,,,,,0
30,-80.283,38.2,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,1,,1,,1,0
31,-81.267,49.183,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
32,-79.83,43.5,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
33,-77.55,39.967,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,1,,1,,1,0
34,-84.9536,44.7189,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
35,-91.1,36.8,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
36,-105.267,55.267,1,,,,1,,,,,1,,,1,,1,0,1,,1,1,,,1,,,0
37,-91.475,45.275,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
38,-71.833,44.033,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
39,-85,43.48,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
40,-89.732,43.418,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
41,-69.958,60.988,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
