"WHITMORE ET AL. 2005 - MODERN POLLEN DATABASE FOR NORTH AMERICA AND GREENLAND, v.1.8",,,,,,,,,
,,,,,,,,,
UPDATE HISTORY,,,,,,,,,
Version,Date Released,Author of changes,Changes,,,,,,
1.8,2016-04-16,K Gajewski,Several sites from the old CCR modern sample group have been updated. This amounts to ~177 samples from eastern North America,,,,,,
,,,"Most of these are unpublished data from Al Swain, K Gajewski, Marge Winkler and Gil Peterson; these were counted at UWisc in the 1970s for the COHMAP project",,,,,,
,,,"The count sheets were obtained and data completely reentered from scratch, then merged into the this file by overwriting the old file, after checking the 2 for differences",,,,,,
,,,"Major change: Pinus counts updated; in a number of samples, Pinus undiff were simply missing, or in some cases, Pinus diploxylon and haploxylon were lumped into Pinus (in versions 1.7 and below)",,,,,,
,,,Some rare types are now included when they were simply missing in earlier versions; in some cases species or subgenus delimitations had been lumped at the genus level; there are now distinguished,,,,,,
,,,"Remember that this is a research database, and not an archive. Aquatics, for example are totally missing in this version. See NEOTOMA for a complete archive of these data.",,,,,,
,,,Updated samples are coloured in YELLOW on the pollen sheet,,,,,,
,,,"In GREEN are CCR samples which have not been updated, as I couldn’t find the count sheet or match it to the database sample; these may have the Pinus errors, for example",,,,,,
,,,"The DB Code was updated to the CCR number to make it easier to trace samples. Also, the sitename was changed to the one from the count sheets. NB: the site name has been changed on the POLLEN DATA sheet only and not on the others",,,,,,
,,,Thanks to Angele Leduc for entering the data from the count sheets.,,,,,,
,,,Thanks to Eric Grimm for discussions and detective work on these changes and to CCR staff for sending the old count sheets.,,,,,,
1.73,2013-02-21,M. Ladd,Corrected seasonal precip fields (columns BP to BS) so they are sums of the monthly totals rather than averages of monthly totals,,,,,,
1.72,2009-02-25,J. Williams,Corrected data error:  Samples ID2 4701-4774 lacked pollen counts (all values were 0).  Counts inserted.,,,,,,
1.71,2008-10-27,J. Williams,"Added 'YrOfSamp' information to samples collected by Eric Grimm, Sheri Fritz, and Dan Engstrom from the northern Great Plains (ID2:  4775-4837)",,,,,,
1.7,2008-09-25,J. Williams,1. GENERAL CHANGES,,,,,,
,,,a. Added 203 surface pollen samples (ID2: 4635 to 4837) from the following workers:,,,,,,
,,,                                                               i.      Kendra McLauchlan (Ohio),,,,,,
,,,                                                             ii.      Timme Donders (Florida),,,,,,
,,,                                                            iii.      Gene Wahl (Southern California),,,,,,
,,,                                                           iv.      Steve Jackson (NY),,,,,,
,,,                                                             v.      Eric Grimm (Northern Great Plains),,,,,,
,,,"b. Climate attributions for new samples provided by Patrick Bartlein, following procedures described in Whitmore et al. 2005",,,,,,
,,,"c. Tree cover attributions were provided by Jack Williams, following procedures described in Whitmore et al. 2005",,,,,,
