"ID2","LONDD","LATDD","ELEVATION","Tann"
1,-69.992,60.979,153,NA
2,-79.2,46.05,240,NA
3,-57.033,52.517,200,NA
4,-85.5,36.033,305,NA
5,-73.311,45.543,114,NA
6,-70.685,47.482,648,NA
7,-70.05,44.47,124,NA
8,-67.331,45.256,106,NA
9,-77.917,42.25,497,NA
10,-70.596,46.279,330,NA
11,-76.12,54.047,205,NA
12,-78.55,39.767,634,NA
13,-88.474,33.563,49,NA
14,-89.867,43.083,335,NA
15,-95.167,47.183,457,NA
16,-63.2,55.333,470,NA
17,-70.675,45.567,603,NA
18,-74.683,43.917,600,NA
19,-85.017,30.267,20,NA
20,-71.7735,41.6979,104,NA
21,-63.25,55.667,475,NA
22,-72.999,46.614,220,NA
23,-74.658,41.3314,440,NA
24,-76.146,54.799,340,NA
25,-86.53,41.65,244,NA
26,-107.933,50.874,686,NA
27,-93.27,42.02,329,NA
28,-67.883,46.283,140,NA
29,-115.317,67.833,43,NA
30,-80.283,38.2,1029,NA
31,-81.267,49.183,259,NA
32,-79.83,43.5,102,NA
33,-77.55,39.967,290,NA
34,-84.9536,44.7189,345,NA
35,-91.1,36.8,244,NA
36,-105.267,55.267,369,NA
37,-91.475,45.275,334,NA
38,-71.833,44.033,1325,NA
39,-85,43.48,248,NA
40,-89.732,43.418,294,NA
41,-69.958,60.988,114,NA
42,-76.45,36.583,6,NA
43,-70.35,45.85,650,NA
44,-71.6593,44.1605,1265,NA
45,-80.25,44.367,518,NA
46,-95.808,34.406,263,NA
47,-83.63,42.33,271,NA
48,-93.75,49.583,391,NA
49,-94.417,44.95,327,NA
50,-73.476,46.276,250,NA
51,-87.7305,44.0534,210,NA
52,-60.392,46.067,81,NA
53,-86.134,31.721,105,NA
54,-100.467,64.717,204,NA
55,-62.633,55.033,565,NA
56,-78.997,37.985,469,NA
57,-76.7,44.417,145,NA
58,-53.133,47.322,220,NA
59,-73.968,44.181,661,NA
60,-73.979,42.242,107,NA
61,-63.033,58.2,170,NA
62,-89.7,46.183,488,NA
63,-74.433,40.383,15,NA
64,-78.67,42.542,428,NA
65,-86.53,41.67,239,NA
66,-66.083,66.135,90,NA
67,-81.767,47.317,430,NA
68,-85.717,37.45,212,NA
69,-92.717,46.417,324,NA
70,-92.62,46.72,386,NA
71,-70.3,46.717,658,NA
72,-67.5,54.8,564,NA
73,-73.331,45.964,18,NA
74,-84.783,45.067,411,NA
75,-89.9,46.25,488,NA
76,-81.317,48.4,305,NA
77,-73.217,46,20,NA
78,-93.6,47.283,391,NA
79,-66.717,45.144,64,NA
80,-91.483,45.283,330,NA
81,-83.258,30.725,49,NA
82,-73.303,45.992,18,NA
83,-101.233,62.633,259,NA
84,-80.66,43.225,300,NA
85,-71.423,47.078,503,NA
86,-94.933,47.183,429,NA
87,-64.833,56.783,365,NA
88,-71.433,41.783,12,NA
89,-89.417,43.1,257,NA
90,-89.417,43.1,257,NA
91,-75.507,45.4,69,NA
92,-73.283,41.817,360,NA
93,-69.3,43.767,3,NA
94,-58.05,52.267,385,NA
95,-68.639,44.628,143,NA
96,-81.867,29.3,15,208
97,-93.383,47.983,393,NA
98,-61.817,56.533,92,NA
99,-95.386,34.663,170,NA
100,-103.483,61.583,348,NA
101,-81.5,46.6,380,NA
102,-79.467,46.45,369,NA
103,-73.05,42.65,586,NA
104,-60.167,53.517,29,NA
105,-95.2,43.333,426,NA
106,-94.4,46.35,363,NA
107,-77.5081,40.7918,634,NA
108,-57.75,53.05,180,NA
109,-71.45,41.517,3,NA
110,-97.2708,45.5025,565,NA
111,-93.633,45.033,292,NA
112,-81.25,42.917,274,NA
113,-80.1389,37.601,1090,NA
114,-85.25,41.583,294,NA
115,-64.8,47.075,6,NA
116,-65.167,57.633,381,NA
117,-76.1,45.6,200,NA
118,-92.7,49.35,460,NA
119,-93.167,32.467,61,NA
120,-99.65,50.717,724,NA
121,-76.683,36.167,6,NA
122,-57.717,54.4,100,NA
123,-81.95,27.967,51,222
124,-64.183,45.017,30,NA
125,-82,29.517,51,205
126,-83.8,40.35,332,NA
127,-91.567,49.933,410,NA
128,-100.75,63.033,265,NA
129,-63.883,56.633,522,NA
130,-76.35,41.674,342,NA
131,-58.917,53.95,137,NA
132,-84.689,40.217,309,NA
133,-52.667,47.617,100,NA
134,-102.509,41.721,1163,NA
135,-74.483,40.4,29,NA
136,-91.45,44.15,244,NA
137,-75.2667,41.0382,277,NA
138,-70.62,46.58,404,NA
139,-96.083,47.2,370,NA
140,-73.317,45.546,137,NA
141,-65.167,55.767,442,NA
142,-81.5,27.583,34,224
143,-67.5,55.017,610,NA
144,-62.05,57.383,122,NA
145,-79.38,44,297,NA
146,-78.95,44.617,274,NA
147,-88.184,42.351,229,NA
148,-91.66,47.472,559,NA
149,-80.775,34.167,90,NA
150,-57.3,51.517,98,NA
151,-71.117,41.967,20,NA
152,-85.383,42.4,271,NA
153,-93.567,45,291,NA
154,-85.661,46.429,259,NA
155,-90.079,45.335,500,NA
156,-87.95,46.75,445,NA
157,-138.4,64.633,1160,-85
158,-89.188,38.904,162,NA
159,-95.808,34.406,263,NA
160,-63.025,46.25,15,NA
161,-93.164,44.822,254,NA
162,-76.129,54.147,130,NA
163,-70.358,54.356,595,NA
164,-79.072,37.996,500,NA
165,-70.616,47.61,305,NA
166,-78.917,46.4,305,NA
167,-80.413,43.237,301,NA
168,-79.45,45.217,305,NA
169,-90.583,36.6,91,NA
170,-95.284,46.212,443,NA
171,-69.41,43.921,37,NA
172,-95.307,46.184,446,NA
173,-120.881,45.918,714,75
174,-110.261,44.299,2362,NA
175,-69.317,44.983,89,NA
176,-70.35,44.033,94,NA
177,-70.35,43.967,95,NA
178,-68.2,45.033,110,NA
179,-114.15,59.25,880,NA
180,-118.7,62.05,745,NA
181,-126.117,65.217,650,-83
182,-120.667,57.45,900,-18
183,-119.717,56.717,1100,NA
184,-114.6,50.767,1480,NA
185,-122.167,59.517,651,-33
186,-78.954,33.799,10,NA
187,-91.5,42.986,308,NA
188,-112.1,57.767,725,NA
189,-107.011,44.294,2665,NA
190,-80.698,46.828,333,NA
191,-84.258,47.308,422,NA
192,-77.175,44.85,274,NA
193,-107.466,44.5,2609,NA
194,-99.906,44.836,549,NA
195,-76.378,57.117,210,NA
196,-75.245,58.578,160,NA
197,-74.583,49.683,830,NA
198,-81.332,27.234,45,223
199,-83.195,30.642,58,NA
200,-64.94,48.198,116,NA
201,-65.95,48.967,915,NA
202,-66.125,48.911,494,NA
203,-71.717,58.867,250,NA
204,-65.839,48.238,65,NA
205,-72.067,58.233,200,NA
206,-72,48.5,97,NA
207,-155.033,67.683,460,NA
208,-146.483,68.333,881,-117
209,-156.033,68.133,631,NA
210,-155.033,66.917,122,NA
211,-156.45,66.967,213,NA
212,-153.9,67.133,820,NA
213,-155.05,67.933,820,NA
214,-153.65,67.147,820,NA
215,-154.233,67.067,210,NA
