"ID2","LONDD","LATDD","ELEVATION","Tann"
1,-69.992,60.979,153,-67
2,-79.2,46.05,240,38
3,-57.033,52.517,200,-7
4,-85.5,36.033,305,136
5,-73.311,45.543,114,61
6,-70.685,47.482,648,5
7,-70.05,44.47,124,63
8,-67.331,45.256,106,56
9,-77.917,42.25,497,66
10,-70.596,46.279,330,33
11,-76.12,54.047,205,-39
12,-78.55,39.767,634,96
13,-88.474,33.563,49,168
14,-89.867,43.083,335,73
15,-95.167,47.183,457,33
16,-63.2,55.333,470,-54
17,-70.675,45.567,603,28
18,-74.683,43.917,600,44
19,-85.017,30.267,20,196
20,-71.7735,41.6979,104,90
21,-63.25,55.667,475,-56
22,-72.999,46.614,220,38
23,-74.658,41.3314,440,88
24,-76.146,54.799,340,-50
25,-86.53,41.65,244,97
26,-107.933,50.874,686,32
27,-93.27,42.02,329,83
28,-67.883,46.283,140,42
29,-115.317,67.833,43,-106
30,-80.283,38.2,1029,78
31,-81.267,49.183,259,5
32,-79.83,43.5,102,78
33,-77.55,39.967,290,104
34,-84.9536,44.7189,345,59
35,-91.1,36.8,244,130
36,-105.267,55.267,369,-9
37,-91.475,45.275,334,60
38,-71.833,44.033,1325,34
39,-85,43.48,248,76
40,-89.732,43.418,294,70
41,-69.958,60.988,114,-67
42,-76.45,36.583,6,152
43,-70.35,45.85,650,27
44,-71.6593,44.1605,1265,26
45,-80.25,44.367,518,55
46,-95.808,34.406,263,163
47,-83.63,42.33,271,90
48,-93.75,49.583,391,24
49,-94.417,44.95,327,66
50,-73.476,46.276,250,39
51,-87.7305,44.0534,210,70
52,-60.392,46.067,81,56
53,-86.134,31.721,105,181
54,-100.467,64.717,204,-127
55,-62.633,55.033,565,-53
56,-78.997,37.985,469,110
57,-76.7,44.417,145,63
58,-53.133,47.322,220,42
59,-73.968,44.181,661,40
60,-73.979,42.242,107,86
61,-63.033,58.2,170,-52
62,-89.7,46.183,488,37
63,-74.433,40.383,15,113
64,-78.67,42.542,428,71
65,-86.53,41.67,239,96
66,-66.083,66.135,90,-105
67,-81.767,47.317,430,19
68,-85.717,37.45,212,133
69,-92.717,46.417,324,42
70,-92.62,46.72,386,37
71,-70.3,46.717,658,22
72,-67.5,54.8,564,-53
73,-73.331,45.964,18,55
74,-84.783,45.067,411,58
75,-89.9,46.25,488,38
76,-81.317,48.4,305,11
77,-73.217,46,20,55
78,-93.6,47.283,391,34
79,-66.717,45.144,64,59
80,-91.483,45.283,330,60
81,-83.258,30.725,49,194
82,-73.303,45.992,18,55
83,-101.233,62.633,259,-109
84,-80.66,43.225,300,70
85,-71.423,47.078,503,30
86,-94.933,47.183,429,34
87,-64.833,56.783,365,-58
88,-71.433,41.783,12,96
89,-89.417,43.1,257,77
90,-89.417,43.1,257,77
91,-75.507,45.4,69,60
92,-73.283,41.817,360,77
93,-69.3,43.767,3,NA
94,-58.05,52.267,385,-11
95,-68.639,44.628,143,63
96,-81.867,29.3,15,208
97,-93.383,47.983,393,28
98,-61.817,56.533,92,-34
99,-95.386,34.663,170,163
100,-103.483,61.583,348,-87
101,-81.5,46.6,380,29
102,-79.467,46.45,369,35
103,-73.05,42.65,586,58
104,-60.167,53.517,29,-3
105,-95.2,43.333,426,73
106,-94.4,46.35,363,47
107,-77.5081,40.7918,634,87
108,-57.75,53.05,180,-9
109,-71.45,41.517,3,98
